Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,Sơ bộ 2022
geoId-AGG,13.2,11.8,11.9,9.7,9.3,9.0,9.6,8.5,7.9,4.9,3.7,1.9,2.8,2.3,3.24,3.99,,3.8
geoId-BR-VT,14.2,12.5,13.0,11.2,9.1,8.9,7.8,8.7,11.5,8.1,7.7,4.9,6.0,9.8,10.99,8.48,,11.6
geoId-BDG,12.9,14.5,15.2,17.4,15.2,14.2,15.9,16.6,14.6,14.8,13.1,16.5,11.5,14.2,15.17,14.63,,12.7
geoId-BPC,16.7,15.3,15.0,14.4,14.4,13.7,12.1,13.3,13.9,9.4,10.9,9.4,9.5,12.9,13.01,10.21,,11.4
geoId-BTN,14.4,14.6,14.6,10.5,10.7,10.6,12.7,10.2,7.0,8.8,7.4,6.5,6.8,8.7,6.27,9.72,,9.3
geoId-BDH,12.2,10.8,10.2,9.4,9.1,8.6,8.1,9.8,7.3,8.2,6.2,4.9,6.0,7.5,8.31,7.14,,8.7
geoId-BLU,15.1,14.6,13.8,10.8,9.4,10.1,11.5,9.9,8.0,6.1,6.4,6.4,6.0,6.6,6.36,7.46,,4.9
geoId-BGG,14.2,11.5,12.7,10.8,9.5,9.4,9.6,6.2,14.0,16.0,12.6,11.4,12.4,10.9,11.66,13.56,,12.8
geoId-BKN,12.7,11.9,11.5,8.9,8.9,8.4,10.2,9.3,9.8,9.8,9.7,9.0,7.6,5.9,7.25,4.63,,6.7
geoId-BNH,14.3,12.1,11.1,12.6,11.1,11.0,15.3,11.9,14.9,15.8,14.4,15.6,12.1,19.2,17.65,17.95,,16.2
geoId-SCC,13.1,10.2,10.5,9.8,9.9,9.1,10.7,10.8,9.9,9.8,9.5,8.9,7.9,10.2,10.29,9.59,,9.7
geoId-BTE,9.7,7.6,7.8,6.0,6.6,5.2,7.4,5.9,4.6,3.2,2.1,2.2,1.1,3.6,4.12,3.71,,2.4
geoId-CBG,12.5,10.5,10.6,9.4,8.8,8.9,8.6,7.7,10.2,6.5,7.5,2.4,6.7,5.9,5.85,9.24,,9.4
geoId-CMU,16.0,14.4,13.7,10.8,9.3,9.2,9.5,8.7,6.4,8.2,9.0,5.3,7.3,7.5,7.95,7.37,,6.6
geoId-VNM,13.3,11.6,11.4,10.8,10.3,9.7,9.9,9.9,10.3,9.4,9.2,8.1,7.8,10.0,10.24,9.3,,9.1
