"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HTH,6.6,6.0,5.7,4.2,8.1,5.8,6.1,6.0,11.0,28.6,32.7,19.0,24.4,24.4,19.0,27.8,24.8,18.6,26.9,24.9,32.2,35.5,28.4,35.6,44.4,46.3,52.8,59.0
geoId-HYN,26.9,35.0,26.6,30.2,30.6,19.1,15.8,16.8,23.6,28.4,30.3,33.2,44.0,47.2,35.3,48.7,50.8,46.3,45.9,47.0,49.1,47.1,46.0,41.4,31.5,24.6,20.5,18.9
geoId-HDG,32.1,41.7,35.9,29.2,33.3,19.4,7.0,15.9,28.3,24.7,22.9,19.0,20.6,21.5,19.3,22.4,20.6,18.3,21.0,21.0,21.4,22.7,23.3,22.5,22.4,21.9,22.6,22.0
geoId-HPG,1.0,1.1,2.6,2.5,1.5,1.8,0.9,1.6,4.1,7.4,7.6,6.3,7.9,9.6,10.1,13.7,13.7,9.0,7.9,6.3,5.8,5.9,5.3,4.9,4.6,5.1,5.8,5.2
geoId-HGG,,,,,,,,,,10.1,7.8,6.0,7.7,9.0,9.7,8.3,8.0,10.3,10.4,13.3,14.3,14.9,15.1,15.8,19.0,18.7,18.5,16.0
geoId-KHA,6.8,7.1,4.4,5.1,5.5,7.3,7.3,5.0,8.4,7.6,7.7,9.8,11.4,10.4,11.9,12.1,13.3,14.1,14.6,14.9,12.9,14.7,14.0,14.7,13.0,11.3,11.2,11.2
geoId-KGG,,0.1,,,,,,0.0,0.4,0.2,,0.1,,0.1,0.2,0.2,0.3,0.3,0.7,0.7,1.3,1.2,1.7,1.5,1.4,1.7,1.8,2.1
geoId-KTM,4.8,6.3,7.8,8.1,8.3,13.1,19.6,24.6,29.3,31.3,32.3,30.2,30.4,28.2,28.4,28.4,26.2,26.3,26.7,25.0,24.2,24.9,24.9,24.4,22.0,21.7,23.2,22.1
geoId-LCU,30.1,36.7,35.8,40.5,40.6,43.2,47.5,55.0,61.1,23.0,28.9,32.1,37.5,40.2,43.2,50.1,52.7,59.4,57.3,62.1,66.0,69.9,73.0,70.4,70.7,71.3,74.5,75.2
geoId-LAN,0.4,0.6,2.5,0.7,1.0,1.3,8.9,5.2,10.8,10.0,14.5,22.3,26.6,27.6,19.5,28.5,25.9,23.8,22.4,29.2,29.0,11.7,9.0,8.1,3.9,2.5,1.6,1.7
geoId-LCI,27.7,31.2,29.9,34.3,37.1,38.3,44.9,51.9,57.3,61.0,64.6,65.9,75.8,80.7,92.6,101.6,110.0,115.6,122.2,117.7,133.2,138.7,146.6,151.9,155.8,159.9,153.4,151.3
geoId-LDG,42.9,55.6,65.5,62.9,56.7,49.0,42.6,40.0,69.4,65.9,86.2,83.3,87.3,73.7,77.8,71.2,78.4,88.1,84.0,79.1,74.3,69.3,65.5,54.3,48.0,43.8,42.5,41.6
geoId-LSN,21.6,24.9,28.6,28.4,32.2,44.8,56.2,57.4,61.7,74.1,79.8,70.2,89.0,94.9,93.4,97.2,100.7,103.8,105.4,98.4,104.4,108.2,105.2,105.3,98.3,97.3,93.7,96.2
geoId-NDH,20.0,22.9,23.2,19.1,16.3,10.9,9.2,10.1,12.6,15.6,18.7,19.7,17.1,19.1,17.9,20.5,21.0,19.9,17.8,18.6,19.6,19.7,21.7,19.9,17.8,16.7,15.1,15.3
geoId-NAN,32.8,56.0,70.8,65.7,80.4,78.7,90.2,100.5,141.6,217.3,218.6,232.5,206.9,223.3,186.0,234.6,211.6,200.6,230.4,193.1,235.5,250.1,241.9,207.0,214.2,203.4,207.8,211.6
geoId-NBH,10.1,13.3,21.4,19.1,20.0,18.9,15.5,14.9,16.8,17.6,18.2,19.4,28.5,24.1,19.1,23.1,25.8,18.8,21.5,21.6,21.5,23.7,22.2,18.6,20.2,19.4,18.1,16.3
geoId-NTN,6.7,7.8,12.9,10.7,11.6,20.1,21.1,19.4,27.7,27.7,36.7,38.8,41.3,47.6,51.9,46.6,56.5,52.9,59.5,58.5,48.7,45.5,50.7,49.5,47.5,48.1,51.9,54.9
geoId-PTO,23.9,31.0,34.0,31.6,44.9,42.5,48.1,55.0,66.5,71.7,74.8,65.8,82.2,89.5,63.4,90.4,94.3,79.1,84.4,85.8,89.5,87.1,87.0,80.5,82.5,81.8,83.1,85.5
geoId-PYN,1.5,2.6,2.9,2.3,2.6,2.8,3.5,4.2,8.9,10.9,12.8,16.2,15.4,17.5,15.3,17.2,21.0,22.7,22.7,22.0,23.8,22.5,22.4,25.9,23.7,22.1,20.3,19.8
geoId-QBH,4.7,5.5,8.5,6.8,7.7,10.4,10.7,11.3,11.5,16.4,14.8,18.9,18.9,21.1,21.1,19.1,21.0,21.3,21.8,21.4,23.3,25.0,25.4,25.3,23.3,23.8,28.8,26.5
geoId-QNM,11.1,10.4,15.1,14.3,14.8,26.5,35.6,34.6,41.5,42.9,43.8,48.3,51.2,54.1,50.1,55.7,55.7,58.6,55.5,59.7,57.4,58.2,58.9,56.5,53.6,55.9,56.5,54.9
geoId-QNI,8.5,12.4,14.4,13.2,13.7,24.9,30.1,32.7,35.9,42.3,46.6,50.2,52.9,53.6,50.2,51.8,52.6,55.3,56.2,57.7,56.3,58.8,60.9,60.4,59.4,58.9,58.9,57.2
geoId-QNH,6.0,7.4,9.9,10.8,11.1,12.9,12.8,14.2,16.3,19.3,22.1,18.3,21.2,23.8,22.6,24.0,23.8,22.5,22.3,22.5,23.2,23.5,23.3,21.3,22.4,24.7,23.4,29.1
geoId-QTI,1.6,2.0,2.9,1.9,3.5,3.1,2.9,3.3,3.6,5.2,5.8,6.2,6.6,7.9,7.6,8.3,7.9,9.9,9.5,11.2,11.7,12.9,14.0,14.4,13.8,13.0,15.1,13.5
geoId-STG,4.8,5.8,5.3,6.9,6.4,6.7,8.4,7.7,5.6,8.9,9.5,9.4,9.6,13.4,14.9,14.3,13.8,14.1,15.9,14.7,16.4,15.9,16.9,16.7,17.7,11.9,10.0,10.2
geoId-SLA,45.6,50.8,50.7,82.3,97.2,135.8,151.6,196.1,200.9,217.8,228.0,269.0,444.0,503.5,514.2,417.4,506.7,667.3,654.7,657.7,588.7,598.6,561.8,472.0,392.0,364.2,339.2,325.6
geoId-THA,68.2,81.3,88.8,101.4,127.1,126.7,140.0,155.6,188.4,245.9,244.2,233.0,234.5,231.4,207.8,215.9,214.0,199.6,218.5,221.3,245.5,233.0,225.1,196.2,207.7,200.5,198.7,194.0
geoId-TBH,26.9,36.2,45.1,25.0,21.4,19.1,18.7,21.0,33.7,55.4,51.7,42.5,48.0,49.0,44.9,49.3,49.5,50.6,44.8,54.6,61.4,66.0,70.9,63.3,60.7,61.1,59.0,52.5
geoId-TNN,10.1,18.7,29.4,30.8,30.7,30.8,29.7,38.0,43.7,54.6,55.1,53.9,74.8,84.6,68.0,75.2,80.4,76.4,81.6,79.2,88.0,86.1,79.4,79.9,79.2,76.8,77.2,75.0
geoId-TTH,1.1,1.5,1.8,1.7,1.2,2.7,3.4,3.9,3.9,4.2,5.1,7.2,6.5,5.3,5.7,6.0,6.2,6.9,6.4,6.2,6.3,6.3,6.7,6.6,6.4,5.7,5.8,5.8
