dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,19.5,19.4,20.2,18.6,18.0,16.4,14.0,14.3,12.6,12.5,11.8,10.7,9.9,8.8,8.2,8.3
