dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,49.7,44.2,39.0,34.8,34.8,30.7,25.5,23.8,18.7,17.2,16.8,15.4,14.0,12.3,11.9,12.2
