dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,50.3,55.2,59.6,65.1,65.1,69.2,74.4,76.1,81.3,82.7,83.2,84.6,86.0,87.7,88.1,87.8
