dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,3.8,4.0,3.4,4.7,4.9,3.7,3.6,2.8,2.5,2.3,2.4,2.3,2.4,2.2,2.3,2.5
