dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường hàng không
geoId-VNM,1995,107.2,111.4,106.8,107.8,133.3
geoId-VNM,1996,107.9,96.6,108.4,106.7,116.7
geoId-VNM,1997,107.5,109.4,107.6,107.1,92.9
geoId-VNM,1998,105.9,104.3,106.9,102.4,100.0
geoId-VNM,1999,105.2,95.9,106.9,98.9,103.8
geoId-VNM,2000,104.7,105.4,105.6,100.8,103.7
geoId-VNM,2001,107.6,108.2,109.1,99.8,139.3
geoId-VNM,2002,106.9,101.9,107.4,104.3,112.8
geoId-VNM,2003,122.5,107.4,128.0,94.9,102.3
geoId-VNM,2004,111.8,111.2,111.9,110.9,122.2
geoId-VNM,2005,112.2,99.0,112.6,110.1,118.1
geoId-VNM,2006,110.7,90.6,113.5,91.2,114.6
geoId-VNM,2007,109.7,99.8,110.6,100.9,120.2
geoId-VNM,2008,109.5,97.4,110.6,99.0,114.6
geoId-VNM,2009,112.5,98.0,113.2,105.8,106.9
geoId-VNM,2010,114.8,100.9,115.66,104.1,130.3
geoId-VNM,2011,106.9,106.3,108.18,90.4,106.3
geoId-VNM,2012,108.1,102.52,108.57,101.83,99.34
geoId-VNM,2013,106.1,99.2,106.2,103.7,112.7
geoId-VNM,2014,107.6,99.2,107.6,104.3,144.38
geoId-VNM,2015,108.3,93.33,108.4,104.2,127.46
geoId-VNM,2016,109.45,87.5,109.57,105.75,124.12
geoId-VNM,2017,111.15,96.94,111.5,104.05,115.28
geoId-VNM,2018,106.56,91.45,105.58,127.3,110.28
geoId-VNM,2019,111.31,92.58,110.55,125.02,112.23
geoId-VNM,2020,72.57,46.03,73.22,65.85,58.71
geoId-VNM,2021,72.69,37.36,71.15,104.39,46.89
geoId-VNM,Sơ bộ 2022,159.73,321.79,160.18,140.73,323.27
