"Tỉnh, thành phố",1995,1996,1997,1988,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HTH,2.0,2.3,2.6,2.5,2.5,2.8,3.0,3.5,4.6,5.4,6.1,6.8,6.7,6.2,6.2,6.2,6.0,6.4,6.1,6.5,6.7,6.8,7.4,7.6,7.7,7.5,6.8,6.5
geoId-HYN,2.0,3.7,3.2,3.3,3.0,3.1,3.6,3.6,3.8,3.9,4.1,4.4,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,5.5,5.6,5.7,5.7,5.7,5.7,5.4,5.2
geoId-HDG,2.8,5.5,5.7,5.8,6.3,6.7,7.3,7.6,8.1,8.3,8.6,8.8,9.7,9.9,10.0,9.9,10.2,10.2,10.0,10.1,10.8,11.0,11.2,11.2,11.9,12.0,12.3,12.4
geoId-HPG,12.5,13.6,12.9,13.2,13.3,13.1,13.6,14.4,14.6,14.2,13.5,14.0,13.7,13.9,13.9,13.5,12.8,13.5,12.3,12.6,12.0,12.2,13.0,13.3,12.6,11.7,10.7,11.0
geoId-HGG,,,,,,,,,7.5,8.3,8.9,7.4,8.4,6.1,6.2,6.4,6.4,6.6,6.5,7.1,6.8,7.1,7.3,7.4,7.8,8.1,7.9,8.8
geoId-KHA,3.7,3.8,4.3,6.7,7.2,4.6,5.1,6.0,6.4,6.4,6.6,6.5,6.5,6.1,4.9,5.6,6.0,8.8,5.7,5.8,5.2,5.0,4.8,3.9,4.0,3.9,3.5,4.1
geoId-KGG,12.5,19.3,25.1,27.2,29.3,34.6,42.6,49.7,62.1,79.2,82.2,95.5,106.2,134.6,121.7,120.5,135.4,114.8,126.9,132.9,136.2,142.6,153.9,160.7,166.5,171.5,183.6,185.8
geoId-KTM,0.4,0.4,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8
geoId-LCU,0.9,0.9,0.9,1.0,1.2,1.2,1.4,1.4,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.0,1.0,0.9
geoId-LAN,1.8,2.5,2.5,3.1,2.9,3.4,6.6,7.3,10.2,12.4,13.2,11.6,12.6,10.0,9.0,9.4,10.9,8.9,9.0,8.7,8.7,8.2,9.2,9.8,8.7,8.6,7.6,7.7
geoId-LCI,0.7,0.7,0.7,0.7,0.8,0.9,1.0,1.2,1.2,1.1,1.2,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.9,1.9,1.9,2.0,2.0,2.5,2.6,2.5,2.6
geoId-LDG,0.8,0.8,1.0,1.2,1.1,1.4,1.4,1.3,1.7,2.0,2.1,2.2,2.4,2.6,2.8,3.1,3.2,3.2,3.2,3.0,3.2,3.0,3.2,2.9,3.2,2.6,2.3,2.2
geoId-LSN,0.1,0.1,0.1,0.6,0.6,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
geoId-NDH,9.5,11.0,9.8,9.9,11.0,11.6,12.3,12.7,13.2,13.1,14.0,14.2,15.2,15.3,15.5,15.6,15.8,16.2,15.9,15.8,16.0,15.4,15.4,15.2,15.5,15.8,14.4,14.8
geoId-NAN,5.0,9.2,9.6,9.6,10.2,12.2,13.1,13.7,14.7,17.4,18.8,19.8,20.4,21.1,20.4,20.4,20.9,21.0,20.1,20.2,20.6,20.7,21.1,21.4,21.4,21.5,19.0,19.7
