dia phuong,2010,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,1623.8,2872.6,2421.6,1902.4,2700.8,3352.5,3212.8,3110.3,5532.1,10653.3
