dia phuong,2010,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,84838.6,147849.1,165775.9,174978.4,213215.3,237241.6,253696.5,262791.0,332969.7,358901.9
