"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-TGG,1386.0,1562.0,1768.0,2109.0,3019.0,3493.0,3375.0,4384.8,5263.0,6475.0,7021.8,7658.8,8466.8,8816.7,9208.5,9352.8,9332.8,10219.4,10750.8,11782.1,9922.0,8786.9,10814.01
geoId-HCM,3164.76,3607.83,4149.0,12724.0,12308.0,13584.0,14921.4,18894.5,19370.0,22423.4,26995.0,29641.0,30648.8,23830.3,25994.5,25995.9,30051.3,32365.2,40650.7,48171.1,48298.5,46028.47,71653.75
geoId-NT,2127.11,2448.65,2678.8,3030.5,3131.9,3523.7,4588.4,6948.2,5605.6,6802.4,6827.7,8034.0,8047.6,11215.8,12753.6,13154.8,14979.2,15283.4,14647.8,12487.9,12649.0,13104.07,14876.98
geoId-TVH,407.0,625.0,998.0,1249.0,2711.0,3453.9,3556.4,3256.7,2344.0,1384.3,1517.9,1718.9,1709.0,1881.9,1991.1,2416.3,2654.7,2983.9,3171.9,3620.5,3608.5,3778.1,7727.34
geoId-TQG,134.0,130.0,153.0,223.0,131.0,91.0,48.0,0.2,98.0,103.0,10.0,9.8,8.9,5.2,0.01,6.0,6.1,6.1,4.6,8.3,20.1,19.74,23.2
geoId-TNN,37.0,29.0,19.2,14.0,15.5,19.6,30.4,19.7,25.0,31.0,35.2,33.3,24.0,37.0,33.0,34.4,32.2,29.5,,,,,
geoId-TNH,136.0,109.0,134.0,168.0,169.0,59.0,96.0,95.1,174.0,126.0,111.0,116.9,82.7,75.4,76.7,88.4,92.4,91.3,95.0,133.0,42.0,18.0,12.6
geoId-VLG,1715.0,1759.0,1800.0,1879.0,2088.0,2342.8,2636.0,2730.0,3031.0,3622.0,3799.6,4298.2,4309.8,4257.0,4353.4,4327.2,4246.4,4352.6,4242.2,4515.0,3053.9,1489.0,2108.0
geoId-VPC,700.0,754.0,919.0,1038.0,1171.0,1446.0,1552.0,2903.0,2428.0,2677.0,3032.9,3072.3,3036.3,3309.6,3501.9,3925.3,4781.0,4852.7,4697.4,5280.9,4671.4,5540.28,7791.19
geoId-YBI,440.0,511.0,461.0,483.0,515.0,209.0,284.0,248.0,259.0,251.0,306.5,305.6,305.9,445.5,448.2,475.9,489.2,489.7,337.6,317.4,431.0,173.6,148.5
geoId-DNG,386.27,348.0,460.0,571.4,737.9,666.0,804.3,787.0,792.0,656.0,751.8,796.9,777.0,762.2,815.0,488.0,612.0,673.8,535.6,138.9,68.4,34.87,93.89
geoId-ST,4283.76,4742.83,5367.0,14105.0,14563.0,16428.0,18047.4,22027.3,23820.0,24646.4,29055.5,31685.4,32563.8,25831.1,28091.3,28502.4,32620.3,35001.9,43463.2,51174.1,51187.4,48729.06,74790.1
geoId-DLK,28.0,20.0,10.0,5.0,5.0,4.0,7.0,11.0,15.0,20.0,25.0,21.2,24.0,37.0,33.0,34.4,32.2,29.5,,,,,
geoId-MRD,17973.67,19071.0,24524.8,26711.0,30825.0,40951.7,44620.4,42780.0,49790.5,56222.9,58507.6,60511.2,68385.5,71399.5,73626.7,80071.3,85596.2,90573.0,94712.2,102962.9,102701.5,92609.4,114701.95
geoId-RRD,20644.86,23949.49,26208.3,35074.8,42103.4,48433.9,50935.3,60077.0,59009.5,67801.0,73999.7,77530.5,84106.7,93040.5,99322.9,108100.1,121285.3,131941.0,143249.6,154578.8,154597.5,147583.55,176355.08
geoId-DNI,150.0,150.0,150.0,189.0,277.0,418.0,442.0,323.7,640.0,1259.0,1072.7,962.6,985.7,989.5,1025.0,1283.7,1324.0,1351.1,1393.0,1444.0,1415.5,1250.75,1592.0
geoId-DTP,1509.0,1526.0,1556.0,1576.0,1695.0,1408.0,1440.0,1995.0,1745.0,2015.0,1910.0,2088.2,2149.8,2647.4,2649.6,2626.6,2930.4,3056.4,3399.6,4083.9,4102.9,4417.0,5736.0
