dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,1219.2,268.0,951.2
geoId-VNM,31/12/2020,1296.2,293.4,951.2
geoId-VNM,31/12/2021,1304.7,299.7,1005.0
