dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,162.9,162.0,0.9
geoId-VNM,31/12/2020,190.3,189.6,0.9
geoId-VNM,31/12/2021,195.1,194.3,0.8
