dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,11498.5,11383.8,114.7
geoId-VNM,31/12/2020,11718.4,11575.3,114.7
geoId-VNM,31/12/2021,11693.0,11544.5,148.6
