dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,4546.4,4493.1,53.3
geoId-VNM,31/12/2020,4931.3,4857.5,53.3
geoId-VNM,31/12/2021,4924.7,4848.2,76.5
