Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2005,,80.0,76.0,81.0,81.0,87.0,90.0,92.0,92.0,92.0,91.0,87.0,91.0
2005,,77.0,80.0,80.0,80.0,76.0,73.0,76.0,74.0,78.0,83.0,80.0,84.0
2005,,76.0,79.0,77.0,77.0,78.0,79.0,81.0,81.0,82.0,81.0,80.0,80.0
2005,geoId-CMU,78.0,79.0,76.0,75.0,80.0,82.0,87.0,84.0,83.0,85.0,82.0,84.0
2005,geoId-HNI,79.0,85.0,83.0,83.0,78.0,77.0,79.0,83.0,78.0,76.0,79.0,69.0
2005,,79.0,83.0,82.0,81.0,80.0,68.0,69.0,67.0,78.0,85.0,84.0,87.0
2006,geoId-LCU,71.0,68.0,67.0,65.0,79.0,83.0,83.0,83.0,83.0,87.0,85.0,79.0
2006,geoId-SLA,78.0,79.0,78.0,75.0,79.0,84.0,87.0,87.0,82.0,82.0,76.0,77.0
2006,geoId-TQG,78.0,87.0,86.0,80.0,80.0,82.0,84.0,89.0,82.0,85.0,83.0,82.0
2006,,,,,,,,,,,,,
2006,,81.0,87.0,89.0,86.0,81.0,85.0,84.0,87.0,75.0,82.0,79.0,67.0
2006,geoId-NDH,80.0,89.0,89.0,85.0,82.0,81.0,80.0,87.0,78.0,83.0,81.0,78.0
2006,,88.0,93.0,90.0,83.0,74.0,71.0,72.0,86.0,81.0,89.0,85.0,85.0
2006,,92.0,91.0,90.0,85.0,80.0,73.0,71.0,84.0,86.0,88.0,88.0,90.0
2006,geoId-DNG,86.0,85.0,84.0,81.0,77.0,73.0,71.0,82.0,82.0,84.0,82.0,82.0
2006,,,,,,,,,,,,,
2006,,80.0,75.0,77.0,78.0,82.0,86.0,95.0,95.0,89.0,84.0,80.0,77.0
2006,,86.0,82.0,81.0,86.0,87.0,91.0,93.0,94.0,90.0,88.0,83.0,83.0
2006,,77.0,77.0,80.0,80.0,76.0,75.0,76.0,75.0,79.0,81.0,80.0,80.0
2006,,77.0,73.0,77.0,74.0,76.0,79.0,81.0,81.0,81.0,80.0,76.0,74.0
2006,geoId-CMU,81.0,76.0,79.0,79.0,82.0,86.0,88.0,88.0,87.0,85.0,82.0,79.0
