dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,6952.1,6890.7,61.4
geoId-VNM,31/12/2020,6787.1,6717.8,61.4
geoId-VNM,31/12/2021,6768.3,6696.3,72.0
