dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,279.9,277.3,2.6
geoId-VNM,31/12/2020,314.0,310.7,2.6
geoId-VNM,31/12/2021,318.1,315.2,2.9
