Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2003,geoId-CMU,251.0,260.0,297.0,279.0,104.0,200.0,146.0,173.0,126.0,121.0,204.0,158.0
2004,geoId-LCU,158.0,143.0,155.0,178.0,144.0,103.0,121.0,161.0,126.0,122.0,123.0,148.0
2004,geoId-SLA,135.0,115.0,118.0,174.0,153.0,143.0,119.0,182.0,158.0,156.0,161.0,219.0
2004,geoId-TQG,25.0,61.0,44.0,101.0,131.0,148.0,128.0,126.0,154.0,150.0,107.0,166.0
2004,,36.0,64.0,46.0,74.0,141.0,185.0,121.0,160.0,122.0,148.0,136.0,161.0
2004,,56.0,71.0,49.0,81.0,136.0,200.0,80.0,177.0,163.0,169.0,152.0,160.0
2004,geoId-NDH,26.0,62.0,52.0,73.0,143.0,210.0,92.0,155.0,127.0,120.0,112.0,140.0
2004,,45.0,70.0,44.0,110.0,165.0,220.0,135.0,208.0,152.0,103.0,86.0,120.0
2004,,83.0,47.0,112.0,183.0,217.0,234.0,192.0,229.0,136.0,113.0,117.0,113.0
2004,geoId-DNG,95.0,153.0,131.0,215.0,283.0,239.0,217.0,242.0,162.0,147.0,112.0,125.0
2004,,138.0,205.0,194.0,257.0,270.0,220.0,251.0,281.0,179.0,154.0,121.0,109.0
2004,,256.0,288.0,262.0,247.0,232.0,140.0,163.0,124.0,156.0,221.0,258.0,259.0
2004,,222.0,229.0,227.0,184.0,175.0,131.0,59.0,96.0,169.0,196.0,226.0,206.0
2004,,183.0,251.0,211.0,249.0,242.0,222.0,270.0,244.0,232.0,189.0,148.0,164.0
2004,,259.0,251.0,268.0,266.0,211.0,170.0,226.0,258.0,209.0,197.0,260.0,204.0
2004,geoId-CMU,234.0,239.0,241.0,244.0,175.0,144.0,146.0,137.0,161.0,169.0,238.0,191.0
2005,geoId-LCU,118.0,171.0,139.0,167.0,224.0,62.0,135.0,85.0,164.0,166.0,123.0,117.0
2005,geoId-SLA,129.0,168.0,158.0,173.0,227.0,110.0,203.0,98.0,180.0,186.0,184.0,128.0
2005,geoId-TQG,38.0,35.0,43.0,91.0,211.0,135.0,213.0,146.0,167.0,147.0,108.0,94.0
2005,,41.0,22.0,36.0,88.0,193.0,125.0,190.0,137.0,165.0,105.0,131.0,70.0
2005,,22.0,15.0,32.0,77.0,206.0,109.0,203.0,128.0,163.0,145.0,148.0,59.0
2005,geoId-NDH,33.0,9.0,31.0,79.0,202.0,128.0,210.0,132.0,145.0,109.0,122.0,49.0
2005,,62.0,49.0,66.0,124.0,243.0,159.0,238.0,141.0,134.0,88.0,73.0,25.0
2005,,118.0,113.0,98.0,164.0,242.0,216.0,221.0,176.0,175.0,104.0,123.0,9.0
2005,geoId-DNG,157.0,172.0,151.0,193.0,246.0,220.0,217.0,170.0,181.0,109.0,138.0,12.0
2005,,172.0,198.0,205.0,265.0,306.0,261.0,231.0,167.0,173.0,121.0,132.0,17.0
2005,,288.0,262.0,263.0,259.0,231.0,193.0,108.0,105.0,112.0,141.0,166.0,111.0
2005,,268.0,247.0,238.0,209.0,184.0,159.0,115.0,120.0,90.0,98.0,146.0,72.0
2005,,206.0,231.0,250.0,278.0,279.0,236.0,189.0,189.0,168.0,151.0,139.0,21.0
2005,,245.0,275.0,304.0,282.0,249.0,214.0,171.0,196.0,168.0,201.0,192.0,104.0
2005,geoId-CMU,255.0,264.0,275.0,276.0,190.0,191.0,134.0,177.0,145.0,161.0,161.0,96.0
2006,geoId-LCU,158.0,157.0,153.0,185.0,165.0,137.0,125.0,174.0,159.0,172.0,160.0,139.0
2006,geoId-SLA,174.0,112.0,136.0,192.0,187.0,171.0,128.0,163.0,197.0,183.0,259.0,161.0
2006,geoId-TQG,70.0,20.0,19.0,109.0,174.0,177.0,171.0,127.0,183.0,137.0,140.0,94.0
2006,,74.0,32.0,26.0,102.0,159.0,170.0,145.0,97.0,170.0,125.0,152.0,111.0
2006,,72.0,47.0,19.0,94.0,154.0,158.0,156.0,113.0,188.0,174.0,159.0,123.0
2006,geoId-NDH,65.0,20.0,20.0,108.0,186.0,188.0,160.0,118.0,175.0,146.0,149.0,83.0
2006,,66.0,29.0,40.0,183.0,222.0,229.0,185.0,120.0,164.0,126.0,149.0,45.0
2006,,89.0,81.0,108.0,186.0,239.0,279.0,183.0,173.0,151.0,183.0,182.0,45.0
2006,geoId-DNG,94.0,115.0,164.0,240.0,261.0,290.0,199.0,178.0,172.0,193.0,209.0,78.0
2006,,91.0,161.0,232.0,265.0,269.0,270.0,178.0,201.0,193.0,194.0,213.0,134.0
2006,,201.0,253.0,258.0,240.0,223.0,211.0,88.0,95.0,160.0,229.0,257.0,240.0
2006,,213.0,219.0,236.0,205.0,197.0,161.0,106.0,121.0,135.0,150.0,241.0,229.0
2006,,137.0,190.0,266.0,286.0,282.0,261.0,219.0,228.0,207.0,223.0,247.0,166.0
2006,,198.0,247.0,266.0,284.0,247.0,200.0,169.0,181.0,183.0,190.0,246.0,202.0
2006,geoId-CMU,181.0,227.0,241.0,226.0,178.0,159.0,124.0,150.0,139.0,157.0,217.0,176.0
2007,geoId-LCU,130.0,189.0,202.0,134.0,133.0,117.0,63.0,126.0,113.0,121.0,131.0,141.0
2007,geoId-SLA,141.0,220.0,196.0,152.0,198.0,181.0,124.0,170.0,170.0,172.0,201.0,158.0
2007,geoId-TQG,60.0,84.0,31.0,82.0,165.0,203.0,172.0,169.0,151.0,122.0,184.0,49.0
2007,,69.0,75.0,25.0,88.0,146.0,218.0,209.0,157.0,129.0,107.0,181.0,58.0
2007,,71.0,63.0,9.0,78.0,159.0,185.0,222.0,136.0,119.0,141.0,190.0,36.0
2007,geoId-NDH,63.0,54.0,12.0,89.0,150.0,226.0,258.0,117.0,126.0,97.0,164.0,39.0
2007,,44.0,98.0,72.0,127.0,198.0,256.0,292.0,155.0,136.0,42.0,112.0,32.0
2007,,33.0,185.0,136.0,115.0,173.0,261.0,275.0,148.0,154.0,48.0,38.0,93.0
2007,geoId-DNG,46.0,182.0,174.0,181.0,231.0,277.0,290.0,170.0,200.0,76.0,49.0,126.0
2007,,95.0,224.0,243.0,240.0,260.0,276.0,278.0,209.0,211.0,139.0,85.0,151.0
2007,,245.0,268.0,214.0,234.0,207.0,185.0,145.0,95.0,130.0,140.0,131.0,254.0
2007,,170.0,251.0,204.0,205.0,199.0,150.0,129.0,104.0,116.0,95.0,114.0,213.0
2007,,123.0,240.0,255.0,274.0,260.0,255.0,245.0,217.0,208.0,146.0,126.0,153.0
2007,,182.0,267.0,271.0,265.0,199.0,169.0,165.0,134.0,158.0,188.0,161.0,190.0
2007,geoId-CMU,149.0,250.0,241.0,242.0,164.0,163.0,126.0,121.0,109.0,124.0,133.0,143.0
2008,geoId-LCU,139.0,47.0,135.0,186.0,204.0,80.0,100.0,125.0,184.0,148.0,158.0,139.0
2008,geoId-SLA,167.0,35.0,170.0,178.0,210.0,108.0,112.0,157.0,204.0,137.0,201.0,152.0
2008,geoId-TQG,65.0,27.0,69.0,71.0,156.0,126.0,155.0,147.0,178.0,126.0,139.0,99.0
2008,,63.0,26.0,68.0,73.0,143.0,116.0,144.0,124.0,123.0,92.0,148.0,114.0
2008,,69.0,29.0,79.0,82.0,173.0,100.0,108.0,134.0,122.0,124.0,163.0,155.0
2008,geoId-NDH,70.0,30.0,65.0,74.0,164.0,106.0,147.0,133.0,119.0,90.0,124.0,93.0
2008,,57.0,25.0,94.0,123.0,188.0,155.0,177.0,210.0,110.0,46.0,79.0,50.0
2008,,68.0,1.0,122.0,169.0,193.0,211.0,265.0,189.0,145.0,74.0,66.0,43.0
2008,geoId-DNG,110.0,24.0,158.0,241.0,227.0,227.0,277.0,202.0,165.0,112.0,68.0,49.0
2008,,148.0,90.0,193.0,280.0,272.0,278.0,283.0,235.0,186.0,165.0,64.0,95.0
2008,,249.0,241.0,252.0,252.0,176.0,199.0,185.0,153.0,123.0,161.0,157.0,201.0
2008,,184.0,192.0,193.0,204.0,143.0,191.0,165.0,151.0,90.0,146.0,91.0,170.0
2008,,157.0,143.0,235.0,271.0,266.0,285.0,263.0,239.0,162.0,206.0,79.0,101.0
2008,,209.0,211.0,286.0,249.0,203.0,223.0,240.0,196.0,152.0,208.0,164.0,168.0
2008,geoId-CMU,157.0,169.0,253.0,216.0,166.0,127.0,173.0,173.0,110.0,142.0,132.0,121.0
2009,geoId-LCU,132.3,204.9,176.6,193.8,201.6,111.9,135.1,214.0,188.8,193.6,175.2,122.1
2009,geoId-SLA,161.4,210.9,169.4,200.0,208.5,138.3,144.9,215.9,207.5,187.5,190.0,173.8
2009,geoId-TQG,89.1,77.1,57.5,102.7,156.9,190.4,157.3,226.2,188.0,134.8,129.3,68.7
2009,,104.7,74.9,50.1,85.6,142.8,166.6,142.9,171.7,132.3,125.0,138.3,78.1
2009,,141.7,90.9,34.6,86.5,141.5,181.0,173.0,182.4,167.8,154.7,164.4,83.7
2009,geoId-NDH,101.3,73.5,44.9,73.7,155.1,189.1,174.1,183.4,136.9,123.5,137.4,61.4
2009,,74.6,99.3,70.1,110.3,162.3,203.9,197.5,181.1,136.2,113.6,108.0,66.9
2009,,66.5,166.4,131.4,127.5,213.9,252.9,213.5,211.0,140.0,117.6,105.0,114.5
2009,geoId-DNG,116.8,178.0,187.4,163.2,226.1,256.4,211.9,235.1,135.4,136.2,116.0,150.3
2009,,154.4,201.5,245.7,223.4,227.2,239.0,223.2,262.6,165.0,184.1,125.0,174.9
2009,,275.1,240.8,262.7,210.1,198.2,170.0,109.9,151.5,91.3,157.6,214.4,248.0
2009,,216.5,194.6,228.7,167.0,154.5,172.3,127.3,143.8,73.4,142.3,172.5,236.2
2009,,176.3,209.2,252.4,193.2,190.5,262.6,239.1,282.5,166.2,200.4,130.8,189.9
