Vùng,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,2.35,1.62,1.4,1.54,1.49,1.9,1.84,1.77,1.74,1.69,1.75,2.5,2.04
geoId-RRD,2.22,1.43,1.25,1.6,1.86,2.2,1.73,1.64,1.44,1.46,1.45,1.6,1.49
geoId-NT,0.83,0.55,0.46,0.54,0.46,0.85,0.78,0.69,0.85,0.98,0.67,2.34,2.15
geoId-SCC,2.33,1.74,1.62,1.58,1.7,1.9,2.17,1.95,2.22,1.86,2.14,2.72,2.15
geoId-TNN,1.69,1.06,1.28,1.29,0.92,0.76,0.88,0.69,0.88,0.94,1.29,0.67,0.53
geoId-ST,2.98,1.83,1.73,1.71,1.61,2.26,2.2,2.45,2.11,1.76,2.2,2.95,2.21
geoId-MRD,3.52,2.62,1.93,2.23,1.82,2.64,2.62,2.61,2.37,2.6,2.53,3.82,2.56
