Vùng,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,4.27,3.6,3.21,3.59,3.41,3.56,3.21,3.17,3.1,3.11,3.89,4.33,2.82
geoId-RRD,3.72,3.42,3.47,5.1,4.91,4.32,3.24,3.21,3.0,2.53,3.28,3.14,2.68
geoId-NT,3.42,2.62,2.29,2.26,2.36,3.31,3.24,2.71,2.09,2.93,3.02,2.72,1.92
geoId-SCC,5.02,3.96,3.96,3.82,3.71,4.14,4.28,4.03,3.95,4.09,5.75,4.46,2.72
geoId-TNN,3.35,1.96,1.9,2.08,1.93,2.84,2.18,1.98,1.51,2.52,2.67,1.73,1.04
geoId-ST,4.7,4.13,3.24,3.34,2.99,3.08,2.62,2.82,2.93,2.88,3.78,5.51,3.2
geoId-MRD,4.04,3.36,2.85,2.94,2.79,3.2,3.74,3.63,3.74,3.86,3.73,4.72,3.35
