Vùng,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,2.91,2.22,1.95,2.17,2.1,2.34,2.29,2.22,2.19,2.17,2.48,3.2,2.34
geoId-RRD,2.64,2.0,1.89,2.64,2.83,2.77,2.22,2.15,1.97,1.82,2.05,2.18,1.93
geoId-NT,1.23,0.87,0.75,0.81,0.77,1.2,1.18,1.02,1.05,1.29,1.06,2.42,2.1
geoId-SCC,2.97,2.29,2.21,2.15,2.22,2.4,2.74,2.52,2.7,2.47,3.16,3.3,2.59
geoId-TNN,2.16,1.32,1.46,1.51,1.2,1.27,1.23,1.05,1.05,1.37,1.66,0.96,0.67
geoId-ST,3.95,3.21,2.64,2.7,2.47,2.66,2.46,2.68,2.63,2.45,3.23,4.66,2.88
geoId-MRD,3.63,2.79,2.15,2.4,2.05,2.66,2.89,2.85,2.71,2.9,2.82,4.05,2.76
