dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2000,100.0,50.7,49.3,23.1,76.9
geoId-VNM,2001,100.0,51.0,49.0,23.9,76.1
geoId-VNM,2002,100.0,50.9,49.1,24.2,75.8
geoId-VNM,2003,100.0,51.3,48.7,24.1,75.9
geoId-VNM,2004,100.0,51.0,49.0,24.9,75.1
geoId-VNM,2005,100.0,52.3,47.7,25.5,74.5
geoId-VNM,2006,100.0,53.2,46.8,26.5,73.5
geoId-VNM,2007,100.0,50.8,49.2,26.3,73.7
geoId-VNM,2008,100.0,51.3,48.7,27.3,72.7
geoId-VNM,2009,100.0,52.0,48.0,26.9,73.1
geoId-VNM,2010,100.0,51.4,48.6,28.3,71.7
geoId-VNM,2011,100.0,51.5,48.5,29.3,70.7
geoId-VNM,2012,100.0,51.5,48.5,29.6,70.4
geoId-VNM,2013,100.0,51.5,48.5,29.8,70.2
geoId-VNM,2014,100.0,51.5,48.5,30.8,69.2
geoId-VNM,2015,100.0,51.8,48.2,31.2,68.8
geoId-VNM,2016,100.0,51.9,48.1,31.4,68.6
geoId-VNM,2017,100.0,52.0,48.0,31.8,68.2
geoId-VNM,2018,100.0,52.2,47.8,32.3,67.7
geoId-VNM,2019,100.0,52.7,47.3,32.4,67.6
geoId-VNM,2020,100.0,52.6,47.4,33.1,66.9
geoId-VNM,2021,100.0,53.48,46.52,36.66,63.34
geoId-VNM,Sơ bộ 2022,100.0,53.24,46.76,37.16,62.84
