dia phuong,1999,2002,2004,2006,2008,2010,2012,2014,2016,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,345,244,390,522,795,1088,1643,2008,2366,2895,3095,2817,2856,3282
