dia phuong,1999,2002,2004,2006,2008,2010,2012,2014,2016,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,199,237,327,442,657,905,1258,1613,1963,2452,2640,2745,2838,3170
