dia phuong,1999,2002,2004,2006,2008,2010,2012,2014,2016,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,295,356,484,636,995,1387,2000,2637,3098,3874,4295,4250,4205,4673
