Địa phương,Năm,Tổng số,Kết hôn lần đầu,Lần thứ 2 trở lên
geoId-LDG,2019,10090,9045,1045
geoId-LDG,2020,9859,8973,886
geoId-LDG,2021,7783,6741,1042
geoId-LDG,2022,13324,11175,2149
geoId-LSN,2018,5988,5382,606
geoId-LSN,2019,5540,4839,701
geoId-LSN,2020,4736,4249,487
geoId-LSN,2021,4129,3610,519
geoId-LSN,2022,4900,4193,707
geoId-NDH,2018,13137,10953,2184
geoId-NDH,2019,14464,13197,1267
geoId-NDH,2020,11701,10583,1118
geoId-NDH,2021,9970,8983,987
geoId-NDH,2022,13138,11684,1454
geoId-NAN,2018,25650,23867,1783
geoId-NAN,2019,24079,22286,1793
geoId-NAN,2020,20559,18834,1725
geoId-NAN,2021,17878,16376,1502
geoId-NAN,2022,22623,20269,2354
geoId-NBH,2018,6689,5987,702
geoId-NBH,2019,5396,4775,621
geoId-NBH,2020,5499,4811,688
geoId-NBH,2021,5276,4587,689
geoId-NBH,2022,6272,5431,841
geoId-NTN,2018,6387,5942,445
geoId-NTN,2019,5933,5795,138
geoId-NTN,2020,5187,4534,653
geoId-NTN,2021,3914,3420,494
geoId-NTN,2022,5828,5007,821
geoId-PTO,2018,10435,9210,1225
geoId-PTO,2019,10130,8744,1386
geoId-PTO,2020,8771,7416,1355
geoId-PTO,2021,8063,6650,1413
geoId-PTO,2022,10157,8381,1776
geoId-PYN,2018,7453,7070,383
geoId-PYN,2019,5956,5507,449
geoId-PYN,2020,6166,5646,520
geoId-PYN,2021,4707,4389,318
geoId-PYN,2022,6785,6012,773
geoId-QBH,2018,7932,7400,532
geoId-QBH,2019,7270,6604,666
geoId-QBH,2020,5953,5386,567
geoId-QBH,2021,4811,4262,549
geoId-QBH,2022,6781,6063,718
geoId-QNM,2018,13936,13144,792
geoId-QNM,2019,13361,12327,1034
geoId-QNM,2020,11226,10090,1136
geoId-QNM,2021,9715,8955,760
geoId-QNM,2022,11520,10533,987
geoId-QNI,2018,12307,11688,619
geoId-QNI,2019,11210,10425,785
geoId-QNI,2020,8823,8195,628
geoId-QNI,2021,8066,7530,536
geoId-QNI,2022,10511,9722,789
geoId-QNH,2018,8816,7384,1432
geoId-QNH,2019,8869,7282,1587
geoId-QNH,2020,7855,6471,1384
geoId-QNH,2021,7393,6059,1334
geoId-QNH,2022,8465,6677,1788
geoId-QTI,2018,5660,5511,149
geoId-QTI,2019,5727,5415,312
geoId-QTI,2020,4748,4507,241
geoId-QTI,2021,4311,3946,365
geoId-QTI,2022,5738,5128,610
geoId-STG,2018,13378,12505,873
geoId-STG,2019,12184,11291,893
geoId-STG,2020,10602,9661,941
geoId-STG,2021,6718,6049,669
geoId-STG,2022,12888,11391,1497
geoId-SLA,2018,13578,12276,1302
geoId-SLA,2019,10175,9437,738
geoId-SLA,2020,9760,9069,691
geoId-SLA,2021,8554,7962,592
geoId-SLA,2022,9948,9153,795
geoId-THA,2018,25795,24014,1781
geoId-THA,2019,24946,23543,1403
geoId-THA,2020,25858,23236,2622
geoId-THA,2021,22669,20158,2511
geoId-THA,2022,28759,25551,3208
geoId-TBH,2018,12032,10912,1120
geoId-TBH,2019,12335,11399,936
geoId-TBH,2020,10259,9354,905
geoId-TBH,2021,9469,8602,867
geoId-TBH,2022,11668,10545,1123
geoId-TNN,2018,8564,7586,978
geoId-TNN,2019,8118,7132,986
geoId-TNN,2020,7370,6380,990
geoId-TNN,2021,6571,5637,934
geoId-TNN,2022,8038,6847,1191
geoId-TTH,2018,9664,9096,568
geoId-TTH,2019,9478,8788,690
geoId-TTH,2020,8090,7522,568
geoId-TTH,2021,6552,6066,486
geoId-TTH,2022,8211,7532,679
geoId-TGG,2018,15117,13635,1482
geoId-TGG,2019,14783,12577,2206
geoId-TGG,2020,13488,11817,1671
geoId-TGG,2021,9270,8006,1264
geoId-TGG,2022,16181,13612,2569
geoId-HCM,2018,44720,35678,9042
geoId-HCM,2019,44378,35383,8995
geoId-HCM,2020,35686,28776,6910
geoId-HCM,2021,24032,19427,4605
geoId-HCM,2022,41362,33274,8088
geoId-NT,2018,101398,92942,8456
geoId-NT,2019,92669,83589,9080
geoId-NT,2020,87377,78237,9140
geoId-NT,2021,77534,69295,8239
geoId-NT,2022,93652,81506,12146
geoId-TVH,2018,9563,8509,1054
geoId-TVH,2019,8673,7452,1221
geoId-TVH,2020,7444,6565,879
geoId-TVH,2021,5499,4763,736
geoId-TVH,2022,9094,7730,1364
geoId-TQG,2018,6267,5535,732
geoId-TQG,2019,5668,5120,548
geoId-TQG,2020,5153,4623,530
geoId-TQG,2021,4402,3778,624
geoId-TQG,2022,5442,4555,887
geoId-TNN,2018,54080,50403,3677
geoId-TNN,2019,48887,44919,3968
geoId-TNN,2020,47153,43077,4076
geoId-TNN,2021,36190,32767,3423
geoId-TNN,2022,54998,48890,6108
geoId-TNH,2018,10203,8523,1680
geoId-TNH,2019,9803,7890,1913
geoId-TNH,2020,8701,6804,1897
geoId-TNH,2021,6266,4797,1469
geoId-TNH,2022,11267,8850,2417
geoId-VLG,2018,8133,7192,941
geoId-VLG,2019,7728,6855,873
geoId-VLG,2020,6653,5607,1046
geoId-VLG,2021,4988,4201,787
geoId-VLG,2022,8130,7094,1036
geoId-VPC,2018,7179,6646,533
geoId-VPC,2019,8186,7412,774
geoId-VPC,2020,6980,5985,995
geoId-VPC,2021,6257,4779,1478
geoId-VPC,2022,7905,6566,1339
geoId-YBI,2018,7666,7125,541
geoId-YBI,2019,5953,5360,593
geoId-YBI,2020,5967,5241,726
geoId-YBI,2021,5970,5274,696
geoId-YBI,2022,5966,5279,687
geoId-DBN,2018,7057,6754,303
geoId-DBN,2019,4837,4493,344
geoId-DBN,2020,5560,5155,405
geoId-DBN,2021,4209,3896,313
geoId-DBN,2022,5506,4977,529
geoId-DNG,2018,8423,7682,741
geoId-DNG,2019,8048,7144,904
geoId-DNG,2020,6413,5682,731
geoId-DNG,2021,5416,4894,522
geoId-DNG,2022,6418,5619,799
geoId-ST,2018,105692,88831,16861
geoId-ST,2019,99452,82466,16986
geoId-ST,2020,88497,72630,15867
geoId-ST,2021,60602,49377,11225
geoId-ST,2022,106514,86735,19779
geoId-DLK,2018,19067,17728,1339
geoId-DLK,2019,16925,15453,1472
geoId-DLK,2020,15765,14293,1472
geoId-DLK,2021,11712,10725,987
geoId-DLK,2022,17386,15448,1938
geoId-DNG1,2018,5456,4998,458
geoId-DNG1,2019,4474,4067,407
geoId-DNG1,2020,4609,4158,451
geoId-DNG1,2021,3525,3221,304
geoId-DNG1,2022,5668,5080,588
geoId-MRD,2018,157782,143601,14181
geoId-MRD,2019,150551,133867,16684
geoId-MRD,2020,137055,118933,18122
geoId-MRD,2021,94907,82074,12833
geoId-MRD,2022,159853,137382,22471
geoId-RRD,2018,146595,127606,18989
geoId-RRD,2019,145889,127085,18804
geoId-RRD,2020,124482,106484,17998
geoId-RRD,2021,113611,95565,18046
geoId-RRD,2022,137582,115340,22242
geoId-DNI,2018,22146,19214,2932
geoId-DNI,2019,18715,16716,1999
geoId-DNI,2020,19450,16490,2960
geoId-DNI,2021,13286,11167,2119
geoId-DNI,2022,24228,20261,3967
geoId-DTP,2018,13667,12284,1383
geoId-DTP,2019,13408,11831,1577
geoId-DTP,2020,12196,10895,1301
geoId-DTP,2021,8161,7025,1136
geoId-DTP,2022,14430,12457,1973
