"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geoId-KHA,26.0,23.6,26.2,28.3,21.8,26.1,26.8,37.2,33.2,21.1,24.4,31.5,33.9,17.0,22.1,24.4,25.1,28.9,27.4,30.8,22.2,26.2,29.4,28.7,27.3,24.6,28.4,22.2
geoId-KGG,264.7,292.0,232.9,228.5,234.5,98.6,86.9,70.2,56.9,116.2,158.9,134.3,174.2,236.0,237.4,237.1,202.0,274.9,282.6,280.3,283.3,107.5,136.4,266.4,319.3,321.8,265.5,361.8
geoId-KTM,28.7,26.2,30.0,27.6,31.4,35.5,36.8,38.3,39.8,43.6,43.0,44.6,46.6,48.3,46.5,47.4,49.6,52.4,52.1,52.6,55.8,56.3,58.2,58.0,59.2,56.8,61.4,60.7
geoId-LCU,80.8,74.1,79.2,81.0,90.7,95.5,103.0,99.9,108.7,63.7,69.7,74.3,76.4,78.7,84.1,88.5,89.9,88.8,93.9,93.8,97.8,101.0,109.7,107.7,112.7,114.9,114.3,115.5
geoId-LAN,76.3,82.0,70.2,81.0,50.5,37.3,52.7,50.1,55.4,59.2,55.9,38.9,26.7,46.8,25.1,39.4,33.2,36.4,30.8,32.2,18.0,5.5,6.2,7.0,7.7,6.7,5.9,6.6
geoId-LCI,56.0,60.0,58.9,62.4,69.7,75.0,80.1,80.3,88.5,70.4,74.9,74.7,78.9,71.8,79.6,76.9,89.0,89.5,91.9,93.6,93.7,100.3,100.4,112.2,115.6,121.1,121.8,123.2
geoId-LDG,65.1,49.6,52.8,63.0,61.4,55.0,67.2,62.4,78.1,77.6,78.1,42.3,73.6,73.4,75.9,69.0,76.4,77.4,73.7,73.5,70.6,69.2,68.5,66.1,65.8,62.5,59.8,60.1
geoId-LSN,82.3,92.5,101.0,100.0,97.6,86.5,109.8,113.5,120.2,117.0,121.8,118.7,128.0,118.9,116.6,120.2,90.2,118.9,124.2,129.6,130.8,133.2,124.3,121.8,124.6,127.2,125.6,132.9
geoId-NDH,351.4,292.3,373.1,419.5,436.8,410.7,417.3,427.7,389.9,430.5,234.9,416.7,414.9,409.6,360.3,419.5,394.4,398.6,386.8,410.2,408.4,398.4,324.6,377.2,378.4,379.9,380.2,380.9
