"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,84.9,85.4,84.2,79.0,81.6,82.3,84.3,83.0,77.9,79.9,77.5,80.0,79.4,77.9,78.0,78.4,77.8,77.0,76.6
geoId-KHA,13.8,13.9,15.6,15.5,16.0,16.5,16.5,17.5,17.1,17.4,13.7,17.8,17.1,19.1,19.1,19.5,19.5,19.9,20.4,20.7,20.0,19.5,20.0,20.1,20.1,19.7,19.9,19.9
geoId-KGG,107.0,144.2,155.4,160.1,182.7,232.6,249.7,254.3,266.6,250.8,250.8,256.7,265.3,270.2,277.8,283.9,287.2,292.2,300.6,305.9,307.3,301.0,298.8,290.0,289.1,289.8,284.4,283.9
geoId-KTM,3.1,3.4,3.3,3.6,3.6,4.0,4.8,5.1,5.4,5.9,6.2,6.4,6.5,6.8,7.0,6.5,6.6,6.9,7.1,7.2,7.6,7.4,7.1,7.1,7.1,7.1,7.1,7.3
geoId-LCU,5.5,5.7,5.7,5.7,6.1,6.7,7.4,8.0,8.6,4.4,4.7,5.0,5.0,5.2,5.4,5.4,5.5,5.7,6.1,6.2,6.4,6.4,6.7,6.7,6.8,6.8,6.8,6.8
geoId-LAN,156.0,181.6,205.9,218.3,234.6,255.3,261.4,244.6,233.4,230.2,235.5,234.5,234.2,240.0,249.0,251.1,254.0,262.1,232.7,235.5,233.9,232.5,234.2,235.6,232.0,227.2,225.9,225.9
geoId-LCI,6.7,7.0,7.3,7.6,8.1,8.7,9.3,9.7,10.0,8.2,8.4,8.4,8.7,8.8,9.0,9.1,9.5,9.8,9.8,9.9,10.0,10.1,10.1,10.1,10.2,10.1,10.1,9.9
geoId-LDG,5.0,5.4,6.4,6.7,7.4,7.8,8.7,9.4,9.4,9.5,8.6,9.1,9.1,9.4,10.2,10.8,11.2,10.9,10.5,10.6,10.5,9.7,9.9,9.4,9.4,9.1,9.3,9.1
geoId-LSN,10.8,10.5,12.0,12.1,11.6,13.0,14.5,13.3,14.4,15.1,15.5,14.6,15.3,15.1,15.8,15.4,15.5,16.1,16.1,16.1,15.4,16.2,15.7,15.5,15.4,15.6,15.0,15.6
geoId-NDH,80.9,81.1,81.7,81.9,81.9,82.4,82.1,81.3,80.9,79.9,78.3,77.6,77.0,76.9,78.3,78.1,78.1,77.7,76.5,76.3,76.1,75.7,74.5,73.9,73.5,72.5,71.8,71.0
