"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KHA,26.8,23.1,24.3,25.5,17.7,22.9,22.7,29.1,28.9,19.7,21.8,28.1,32.9,20.0,27.0,33.4,35.9,35.7,36.5,39.0,41.1,38.5,32.7,34.6,36.9,35.7,38.9,40.4
geoId-KGG,25.6,31.2,24.4,23.6,28.3,23.8,26.7,24.8,29.3,35.1,35.2,30.1,34.0,39.3,38.2,38.1,37.1,42.7,42.9,44.9,45.0,17.9,28.8,45.5,49.8,51.4,45.5,53.8
geoId-KTM,17.7,16.9,19.0,18.0,20.0,21.0,22.3,24.4,25.5,26.4,25.1,26.5,27.9,29.1,27.7,29.8,31.0,32.0,32.0,32.1,33.2,33.5,34.4,34.9,35.7,35.1,37.9,38.9
geoId-LCU,19.3,17.4,19.8,20.0,20.9,21.1,21.8,20.9,22.9,26.3,27.0,29.3,30.3,30.3,33.9,35.5,37.8,38.4,38.8,38.8,39.9,40.4,41.9,42.4,43.2,44.4,44.8,46.0
geoId-LAN,15.4,19.0,18.5,25.1,15.6,14.3,21.8,22.3,25.1,27.3,29.6,25.1,17.3,30.6,18.9,32.0,33.2,36.0,35.0,36.6,35.3,23.9,28.2,31.8,36.7,37.2,34.7,41.3
geoId-LCI,21.2,23.6,23.5,24.4,25.4,27.1,29.1,30.4,32.9,35.9,37.5,38.3,40.5,40.5,39.6,37.3,42.6,43.0,44.4,44.8,45.3,46.7,45.2,47.7,49.2,50.7,51.0,52.2
geoId-LDG,25.9,31.0,31.8,32.3,32.7,28.9,36.1,33.2,39.1,38.8,40.7,23.5,41.3,43.7,44.9,40.4,45.2,48.1,46.9,48.4,47.1,47.1,47.9,49.3,51.0,49.6,49.4,50.9
geoId-LSN,23.8,26.2,28.7,29.4,28.8,25.4,31.7,33.0,35.2,34.1,35.8,34.9,37.8,37.8,34.2,35.1,26.5,34.8,35.8,37.5,38.0,39.3,36.8,36.6,37.8,39.1,39.0,40.9
geoId-NDH,42.5,35.6,44.7,50.1,52.1,49.0,50.2,51.7,47.5,53.1,29.4,52.3,52.5,52.5,44.9,51.9,49.1,50.1,49.0,52.2,52.2,51.5,42.4,50.2,51.5,52.1,52.0,52.9
geoId-NAN,19.0,17.7,20.4,18.1,18.3,22.8,23.1,23.2,24.4,27.7,26.6,28.7,27.1,27.1,21.8,22.9,30.3,32.7,32.5,35.2,34.1,34.1,32.1,35.0,31.8,33.4,36.8,36.4
geoId-NBH,35.2,24.1,38.0,44.5,49.0,45.0,47.7,51.2,43.7,51.3,36.1,52.6,52.7,52.7,56.8,55.3,55.1,55.5,48.0,54.2,53.3,52.0,45.1,53.3,53.7,54.1,54.5,54.3
geoId-NTN,36.2,37.3,38.3,36.0,30.9,26.5,31.2,42.1,30.1,36.9,41.5,38.1,42.6,43.2,44.4,35.6,47.5,50.9,50.9,53.7,50.5,28.0,48.0,41.4,50.5,53.5,53.6,54.8
geoId-PTO,28.4,27.3,28.8,32.5,37.2,36.1,41.5,45.7,44.8,46.2,45.2,45.2,47.8,47.8,48.0,48.1,50.1,50.6,50.4,50.0,49.0,49.5,48.6,50.1,51.2,52.6,53.4,54.3
geoId-PYN,22.8,20.6,21.3,22.0,21.0,20.3,14.9,23.8,24.8,25.2,22.8,29.9,23.1,27.6,16.7,27.1,30.5,33.3,33.2,32.6,34.0,33.8,34.6,36.3,36.6,36.9,39.3,39.5
geoId-QBH,8.8,10.3,10.2,4.8,7.1,10.0,14.3,14.8,15.3,21.4,20.0,25.6,19.0,19.0,15.7,3.3,13.3,16.0,6.0,16.0,16.0,11.7,6.7,11.7,12.0,6.0,10.0,12.5
geoId-QNM,26.5,27.4,26.1,28.6,30.0,33.6,35.8,33.8,40.4,43.7,42.1,43.2,44.0,46.1,39.8,46.2,48.2,46.5,45.1,50.0,49.1,50.9,50.0,49.4,48.7,49.4,50.1,49.1
geoId-QNI,22.4,27.0,20.4,29.7,31.1,25.6,28.5,28.9,29.0,29.4,28.9,30.9,30.6,27.5,18.8,25.8,27.8,26.3,23.0,25.7,28.8,28.8,28.3,30.5,29.4,29.5,21.8,20.8
geoId-QNH,25.4,28.9,30.9,33.9,33.6,34.3,37.9,39.3,41.4,42.0,42.9,39.3,44.3,44.3,41.6,44.1,44.1,46.6,45.9,45.6,46.5,47.2,42.0,47.3,47.2,49.1,49.4,49.2
geoId-QTI,7.3,7.9,8.0,7.1,6.3,12.5,13.4,14.5,14.6,15.6,16.5,15.9,15.1,15.1,7.7,7.7,9.2,9.6,9.2,9.1,9.5,10.0,10.0,10.5,10.0,9.5,10.6,11.3
geoId-STG,32.2,35.0,30.5,28.7,36.4,35.8,39.9,37.5,36.1,36.6,37.7,38.9,38.3,42.7,43.3,45.5,43.9,47.9,50.3,50.1,51.0,48.8,51.2,51.3,50.1,51.2,50.5,50.9
geoId-SLA,19.3,18.4,20.2,19.0,19.7,21.1,22.7,24.2,27.4,27.9,26.9,29.2,23.6,23.6,26.9,26.3,28.3,27.0,25.0,26.8,28.0,28.7,28.4,29.5,30.4,32.1,33.8,35.2
geoId-THA,30.0,18.2,30.6,32.3,36.5,33.5,38.5,41.9,43.0,45.3,39.3,48.9,50.3,50.3,52.8,50.6,48.8,51.8,50.2,53.2,52.1,53.5,52.1,49.3,52.4,54.3,55.1,56.8
geoId-TBH,50.8,46.2,45.5,52.6,58.2,55.2,50.1,58.6,40.2,56.8,46.4,59.1,62.0,62.0,62.0,62.2,59.2,58.5,58.7,59.6,60.4,60.1,47.2,59.2,60.5,61.2,59.2,59.8
geoId-TNN,30.3,30.8,32.6,33.9,37.6,36.7,39.0,42.8,42.9,42.2,44.2,46.0,47.4,47.4,47.5,46.9,49.4,49.2,47.8,49.0,51.1,52.3,51.7,53.0,53.9,54.8,55.2,55.5
geoId-TTH,10.0,9.0,9.1,6.7,5.0,10.0,10.0,12.9,15.0,14.3,11.7,15.0,15.0,15.0,15.7,16.7,18.3,15.0,15.7,16.7,16.7,16.7,15.7,18.3,17.5,10.0,15.0,20.0
geoId-TGG,36.7,20.2,30.1,30.0,26.1,31.1,33.0,,,,,,,,,,,,,,,,,,,,,
geoId-HCM,28.5,20.6,29.2,28.8,26.4,28.5,29.1,28.5,29.8,30.8,31.3,22.8,30.9,33.0,33.0,33.4,35.2,37.5,38.7,39.5,40.5,40.5,42.6,43.7,45.8,48.5,48.7,50.5
geoId-NT,26.1,26.4,28.3,29.2,32.0,31.7,34.9,36.6,37.8,38.5,39.1,40.4,40.9,40.9,41.5,42.1,42.6,43.7,42.2,44.1,44.2,45.4,44.2,45.4,46.2,47.2,47.6,48.4
geoId-TVH,30.5,49.6,30.2,30.2,29.7,32.9,36.5,39.3,41.5,40.6,41.3,43.0,33.8,43.8,41.0,46.9,47.7,51.8,51.7,53.1,42.7,44.6,44.6,43.5,45.5,37.8,50.0,47.3
geoId-TQG,34.1,36.4,35.8,38.6,40.3,37.0,48.9,47.4,50.1,51.8,53.2,54.9,56.5,56.5,56.6,57.2,57.3,57.3,56.9,57.3,57.4,57.6,57.1,57.1,57.5,57.8,58.2,58.5
geoId-TNN,22.2,24.1,24.2,24.0,26.8,28.2,30.5,28.4,34.9,34.9,35.6,36.7,36.6,40.3,41.0,43.1,45.2,44.8,45.9,47.3,47.6,48.5,50.0,51.2,52.6,52.7,53.9,55.5
geoId-TNH,20.3,19.9,24.7,25.0,25.3,24.9,29.2,30.8,34.6,35.9,36.5,40.2,43.5,43.6,44.0,48.3,46.6,48.4,49.0,50.1,50.1,49.1,50.3,51.4,51.8,52.1,53.1,52.9
geoId-VLG,37.6,36.2,40.7,44.6,40.5,38.4,41.2,41.7,46.3,46.1,,,,,,,,,,,,,,,,,,
geoId-VPC,30.0,28.8,30.2,37.3,39.9,41.1,38.4,43.6,45.5,45.7,47.2,39.3,49.5,49.5,50.7,50.5,53.0,40.7,43.5,52.2,51.6,41.1,48.6,52.8,52.4,54.3,56.2,55.5
geoId-YBI,28.4,30.3,27.5,23.5,31.7,32.1,33.1,33.9,35.7,36.5,35.0,38.2,39.2,39.2,40.7,40.4,42.7,44.7,44.8,46.3,46.7,46.2,45.5,45.4,46.2,46.8,47.3,48.0
geoId-DBN,,,,,,,,,,25.3,26.0,26.8,25.9,25.9,28.2,28.2,27.4,27.4,28.5,29.2,29.9,29.9,30.4,31.0,30.9,32.3,31.9,32.6
geoId-DNG,40.2,41.6,38.0,38.4,40.0,45.8,48.7,44.4,50.5,54.7,55.0,56.8,55.5,55.9,47.4,54.8,54.0,57.8,53.6,60.0,58.0,60.0,57.9,58.8,59.2,62.7,65.0,57.4
geoId-ST,23.5,21.4,26.0,26.7,25.3,26.2,29.2,30.1,32.5,32.0,34.7,33.6,38.1,39.0,40.6,42.8,43.0,44.3,44.8,46.4,47.0,46.9,47.8,49.1,50.2,50.4,51.7,52.0
geoId-DLK,26.2,29.7,30.6,27.8,32.9,35.8,35.0,30.6,41.5,44.2,42.7,48.0,39.7,46.9,49.7,51.8,53.8,51.7,53.8,55.9,56.4,57.1,59.4,60.6,61.9,61.9,63.6,64.4
geoId-DNG1,,,,,,,,,,34.8,36.8,39.0,38.1,39.6,47.9,53.7,51.3,54.0,52.9,56.1,55.9,58.1,55.8,57.4,59.0,59.7,61.1,62.7
geoId-MRD,28.9,33.3,26.7,29.8,30.9,31.2,33.9,34.1,36.4,35.5,38.3,38.3,34.9,40.3,39.2,42.5,43.4,46.2,46.9,47.7,40.6,32.4,37.9,46.1,45.5,44.9,44.1,51.5
geoId-RRD,39.7,36.4,39.6,45.8,50.4,49.4,48.4,52.4,48.0,52.2,45.3,51.7,55.0,55.0,54.4,55.3,54.9,54.8,52.2,55.0,55.4,54.0,47.6,54.0,55.6,57.1,57.3,57.3
geoId-DNI,29.6,27.4,31.9,32.1,28.6,29.9,33.9,35.4,37.2,32.1,38.7,37.0,39.5,41.2,44.1,45.2,46.7,47.8,47.5,49.8,50.9,51.4,52.2,53.0,54.2,54.5,55.3,56.0
geoId-DTP,31.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
