dia phuong,Năm,Tổng diện tích (Nghìn ha),Diện tích Lúa đông xuân (Nghìn ha),Diện tích Lúa hè thu (Nghìn ha),Diện tích Lúa mùa (Nghìn ha),Tổng sản lượng (Nghìn tấn),Sản lượng Lúa đông xuân (Nghìn tấn),Sản lượng Lúa hè thu (Nghìn tấn),Sản lượng Lúa mùa (Nghìn tấn)
geoId-VNM,1990,102.2,104.1,106.6,99.1,101.2,104.3,100.7,98.3
geoId-VNM,1991,104.3,104.2,113.7,100.2,102.1,86.3,115.3,111.7
geoId-VNM,1992,102.7,105.5,104.8,99.6,110.0,134.9,104.1,92.7
geoId-VNM,1993,101.3,102.0,106.9,97.8,105.8,98.7,114.8,108.5
geoId-VNM,1994,100.6,102.5,102.4,97.9,103.0,116.3,100.8,89.9
geoId-VNM,1995,102.5,101.7,109.9,98.9,106.1,102.2,114.5,105.3
geoId-VNM,1996,103.5,104.9,113.9,95.3,105.7,113.7,105.8,94.6
geoId-VNM,1997,101.4,105.6,95.0,102.2,104.3,109.0,96.5,103.7
geoId-VNM,1998,103.7,103.7,113.5,96.3,105.9,101.9,113.3,106.4
geoId-VNM,1999,104.0,103.8,109.4,99.4,107.7,104.0,116.4,105.8
geoId-VNM,2000,100.2,104.3,97.9,97.4,103.6,110.4,98.5,97.7
geoId-VNM,2001,97.7,101.5,96.4,94.3,98.7,99.4,96.6,99.7
geoId-VNM,2002,100.2,99.2,103.7,97.9,107.3,108.0,110.3,102.8
geoId-VNM,2003,99.3,99.7,101.1,96.9,100.4,100.6,102.3,97.7
geoId-VNM,2004,99.9,98.5,102.0,99.6,104.6,101.5,111.0,103.5
geoId-VNM,2005,98.4,98.8,99.3,97.0,99.1,101.5,100.1,93.3
geoId-VNM,2006,99.9,101.8,98.6,98.7,100.0,101.5,92.9,106.2
geoId-VNM,2007,98.4,99.8,95.1,100.2,100.3,96.8,104.6,102.5
geoId-VNM,2008,102.7,100.8,107.5,100.1,107.8,107.7,112.4,102.6
geoId-VNM,2009,100.5,101.6,99.6,100.0,100.6,102.0,98.4,100.4
geoId-VNM,2010,100.7,100.8,103.3,97.5,102.7,102.8,104.2,100.7
geoId-VNM,2011,102.2,100.4,106.3,100.1,106.0,102.9,114.7,101.3
geoId-VNM,2012,101.4,100.9,102.7,100.4,103.2,102.6,104.1,102.9
geoId-VNM,2013,101.8,99.4,105.7,100.4,100.7,98.9,104.8,98.5
geoId-VNM,2014,98.9,100.4,97.3,99.0,102.1,103.9,99.0,103.2
geoId-VNM,2015,100.2,101.7,104.9,91.1,100.3,101.2,106.0,89.8
geoId-VNM,2016,98.8,98.8,100.1,96.9,95.6,93.1,99.3,95.1
geoId-VNM,2017,99.6,99.6,100.1,98.6,99.1,98.8,101.5,95.5
geoId-VNM,2018,98.3,99.5,96.8,98.4,103.1,106.1,98.2,105.1
geoId-VNM,2019,98.7,100.7,98.2,95.8,98.7,99.4,98.3,98.0
geoId-VNM,2020,97.4,96.8,97.6,98.4,98.3,97.1,99.0,100.1
geoId-VNM,2021,99.4,99.4,100.2,98.3,102.5,103.8,102.6,99.4
geoId-VNM,Sơ bộ 2022,98.2,99.5,95.9,99.6,97.3,96.8,95.3,102.1
