dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,42.4,27.5,497.7,,14.5,
geoId-VNM,2001,42.9,29.6,504.2,,14.8,
geoId-VNM,2002,45.9,30.8,535.0,,16.2,
geoId-VNM,2003,46.4,34.4,538.1,,16.7,
geoId-VNM,2004,48.6,34.6,547.0,,17.8,
geoId-VNM,2005,48.9,36.0,561.3,,18.1,
geoId-VNM,2006,48.9,37.3,580.3,,18.7,
geoId-VNM,2007,49.9,39.3,592.9,,20.0,
geoId-VNM,2008,52.3,40.1,596.4,,20.8,
geoId-VNM,2009,52.4,40.1,587.7,,20.9,
geoId-VNM,2010,53.4,41.1,600.6,172.6,21.1,87.4
geoId-VNM,2011,55.4,43.1,621.5,177.3,20.9,92.8
geoId-VNM,2012,56.4,43.0,629.9,176.4,21.4,100.7
geoId-VNM,2013,55.7,44.4,648.5,179.4,22.7,100.6
geoId-VNM,2014,57.5,44.1,649.9,184.7,21.7,107.7
geoId-VNM,2015,57.6,44.8,645.2,189.1,22.7,104.7
geoId-VNM,2016,55.7,45.5,643.2,191.7,23.1,105.5
geoId-VNM,2017,55.5,46.5,653.3,192.8,23.5,111.1
geoId-VNM,2018,58.2,47.2,666.0,192.0,24.6,116.6
geoId-VNM,2019,58.2,48.0,659.3,196.0,25.0,122.4
geoId-VNM,2020,58.8,48.4,622.0,200.2,25.1,126.4
geoId-VNM,2021,60.6,49.3,647.4,201.4,26.0,125.3
geoId-VNM,Sơ bộ 2022,60.0,49.9,654.1,200.4,25.6,113.2
