"Tỉnh, thành phố",Năm,Tổng số,Trang trại trồng trọt,Trang trại chăn nuôi,Trang trại nuôi trồng thuỷ sản,Trang trại khác(*)
geoId-MRD,2016,6271.0,3466.0,1854.0,905.0,46.0
geoId-MRD,2017,6305.0,3328.0,2036.0,904.0,37.0
geoId-MRD,2018,5957.0,3213.0,1786.0,927.0,31.0
geoId-MRD,2019,5995.0,3218.0,1818.0,928.0,31.0
geoId-MRD,2020,5425.0,2909.0,808.0,1687.0,21.0
geoId-MRD,2021,5556.0,2867.0,845.0,1825.0,19.0
geoId-MRD,2022,5431.0,2751.0,832.0,1839.0,9.0
geoId-RRD,2011,3512.0,43.0,2439.0,923.0,107.0
geoId-RRD,2012,4472.0,35.0,3174.0,986.0,277.0
geoId-RRD,2013,5197.0,31.0,3779.0,1017.0,370.0
geoId-RRD,2014,6133.0,36.0,4851.0,922.0,324.0
geoId-RRD,2015,7258.0,41.0,5998.0,932.0,287.0
geoId-RRD,2016,9946.0,71.0,8726.0,999.0,150.0
geoId-RRD,2017,10120.0,69.0,8841.0,962.0,248.0
geoId-RRD,2018,9192.0,64.0,7882.0,968.0,278.0
geoId-RRD,2019,9593.0,176.0,8180.0,955.0,282.0
geoId-RRD,2020,6393.0,162.0,5492.0,623.0,116.0
geoId-RRD,2021,6306.0,192.0,5375.0,612.0,127.0
geoId-RRD,2022,6601.0,200.0,5572.0,667.0,162.0
geoId-DNI,2011,1764.0,520.0,1177.0,18.0,49.0
geoId-DNI,2012,1621.0,389.0,1172.0,13.0,47.0
geoId-DNI,2013,1749.0,377.0,1329.0,12.0,31.0
geoId-DNI,2014,2532.0,398.0,2099.0,17.0,18.0
geoId-DNI,2015,3055.0,439.0,2578.0,20.0,18.0
geoId-DNI,2016,3811.0,396.0,3383.0,22.0,10.0
geoId-DNI,2017,3830.0,402.0,3373.0,22.0,33.0
geoId-DNI,2018,3261.0,397.0,2826.0,23.0,15.0
geoId-DNI,2019,3390.0,392.0,2955.0,23.0,20.0
geoId-DNI,2020,2377.0,738.0,1558.0,53.0,28.0
geoId-DNI,2021,2160.0,546.0,1530.0,49.0,35.0
geoId-DNI,2022,2032.0,538.0,1387.0,80.0,27.0
geoId-DTP,2011,219.0,171.0,2.0,39.0,7.0
geoId-DTP,2012,229.0,167.0,12.0,44.0,6.0
geoId-DTP,2013,224.0,161.0,18.0,39.0,6.0
geoId-DTP,2014,361.0,280.0,39.0,38.0,4.0
geoId-DTP,2015,370.0,274.0,59.0,33.0,4.0
geoId-DTP,2016,470.0,333.0,83.0,53.0,1.0
geoId-DTP,2017,458.0,349.0,59.0,50.0,
geoId-DTP,2018,447.0,332.0,66.0,49.0,
geoId-DTP,2019,447.0,332.0,66.0,49.0,
geoId-DTP,2020,433.0,279.0,11.0,143.0,
geoId-DTP,2021,453.0,273.0,47.0,133.0,
geoId-DTP,2022,414.0,275.0,22.0,117.0,
