"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-QBH,4.3,4.7,4.6,4.3,4.2,4.3,3.8,3.6,4.0,5.0,5.6,6.1,6.0,5.8,5.8,5.9,5.7,5.7,5.6,5.8,6.3,6.9,6.4,6.0,6.2,6.3,6.6,6.7
geoId-QNM,14.6,13.9,12.4,12.0,11.7,11.5,11.5,12.6,12.6,13.3,13.2,13.5,14.1,13.9,14.2,13.9,15.1,14.3,13.3,12.6,12.8,12.6,11.7,10.8,10.5,10.1,9.3,9.1
geoId-QNI,11.0,11.4,10.5,10.9,8.2,7.7,11.7,14.0,15.7,16.3,17.9,19.2,19.3,20.5,19.4,19.3,21.5,21.5,20.5,19.1,19.8,19.6,18.4,17.9,17.6,17.8,17.1,14.1
geoId-QTI,4.1,4.3,4.0,3.7,3.8,4.0,3.2,4.1,5.4,6.8,7.8,9.3,9.9,10.0,9.9,9.8,10.7,10.7,11.0,11.8,12.7,13.0,12.3,11.9,11.7,12.0,12.4,12.8
geoId-SLA,13.7,14.7,15.2,15.7,16.6,17.0,16.2,17.2,17.9,18.1,17.8,18.0,18.6,23.7,22.3,24.6,28.5,28.1,28.0,30.5,31.2,32.8,32.2,34.8,37.0,36.9,41.9,47.0
geoId-THA,14.4,15.1,14.4,12.5,10.9,12.1,11.9,13.6,15.2,14.5,15.1,14.5,15.2,16.9,15.6,15.3,16.3,16.8,16.1,18.0,17.8,18.0,15.1,14.0,14.7,15.0,13.7,13.7
geoId-TNN,2.4,2.4,3.2,3.1,3.2,3.6,3.9,3.8,3.9,4.2,3.6,4.1,3.8,4.1,3.9,3.9,3.6,3.8,3.7,3.7,3.4,3.4,2.9,2.5,2.1,1.8,1.5,1.4
geoId-TTH,5.5,5.6,5.2,4.6,4.7,4.3,4.5,4.9,5.5,5.9,6.6,7.1,7.3,7.5,6.9,7.1,7.8,7.6,7.2,7.0,7.1,7.1,6.7,6.0,6.1,4.0,4.2,4.1
geoId-TQG,4.5,4.5,4.6,3.5,3.7,3.7,3.4,3.5,3.5,3.5,3.7,5.3,5.0,6.3,4.4,4.6,5.7,4.8,4.3,4.2,4.6,4.4,3.9,3.3,2.6,2.3,2.1,1.7
geoId-TNH,14.6,9.2,15.8,4.7,0.6,0.8,25.4,31.7,35.6,38.6,43.3,45.1,44.5,47.6,46.0,40.1,45.7,45.4,45.7,50.5,57.6,61.6,55.9,49.2,52.3,57.1,59.2,61.7
geoId-VLG,0.4,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
geoId-YBI,8.1,6.9,8.2,8.2,8.5,8.6,8.5,9.6,10.2,11.9,12.7,13.4,14.5,15.8,12.8,13.6,15.3,16.2,16.9,16.5,15.8,14.8,12.7,10.6,9.8,8.7,8.7,8.6
geoId-DBN,,,,,,,,,,6.8,7.2,7.3,7.4,7.5,7.3,7.2,7.1,7.0,7.2,7.2,7.7,7.4,7.6,7.7,7.7,8.3,8.9,10.8
geoId-DLK,4.8,5.4,4.5,4.2,3.6,4.0,4.4,12.6,16.5,9.3,13.2,20.8,20.1,25.6,24.8,25.9,32.0,25.7,29.3,32.2,35.2,35.9,36.3,38.7,41.0,44.2,45.0,44.0
geoId-DNG1,,,,,,,,,,8.4,15.4,23.7,20.9,21.5,16.5,14.7,17.7,22.8,21.1,19.4,18.4,15.4,13.1,12.2,9.5,8.2,6.2,4.6
geoId-DNI,13.0,12.7,5.2,12.6,8.0,8.4,15.9,16.0,17.3,18.1,19.0,18.6,19.7,23.1,16.3,14.8,16.0,14.9,15.2,15.4,15.8,15.7,14.6,15.3,15.2,16.5,16.8,17.0
