"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,4247.0,4438.0,4567.0,5051.0,4396.0,4591.0,4285.0,4817.0,5532.0,5809.0,6204.0,6700.5,7121.0,7597.4,7383.3,7574.1,7640.6,7845.3,7983.7,8941.1,8809.2,8506.4,8267.8
geoId-HGG,,,,,2303.0,1750.0,2867.0,2966.0,3595.0,3684.0,3572.4,3688.3,3893.1,3722.4,3710.0,3661.6,3892.1,4053.0,4106.0,4401.9,4554.3,4161.3,4348.9
geoId-KHA,1477.0,1695.0,1879.0,1927.0,1564.0,1264.0,1364.0,1607.0,1910.0,2143.0,2247.0,2313.4,2541.0,2679.0,2699.6,2694.6,2711.3,2733.0,2718.0,2899.0,2934.0,3013.8,3207.1
geoId-KGG,3171.0,4126.0,4991.0,5360.0,3044.0,2858.0,3883.0,4289.0,5183.0,5832.0,5907.0,5340.0,5808.0,5310.0,5411.3,5474.8,5471.5,5537.7,5422.6,4071.2,3749.4,3535.9,5670.7
geoId-KTM,594.0,605.0,432.0,454.0,400.0,459.0,426.0,652.0,567.0,658.0,696.0,704.7,721.8,806.0,793.8,853.1,1085.9,1101.0,1431.1,1607.5,1698.0,1867.0,1961.5
geoId-LCU,,,,,493.0,526.0,815.0,853.0,900.0,953.0,1000.0,990.1,906.0,982.6,833.3,1022.5,1102.4,1134.4,1284.0,1578.5,1719.6,1783.5,1804.3
geoId-LAN,3789.0,5916.0,5959.0,5092.0,2117.0,1917.0,3830.0,3569.0,5656.0,9415.0,10736.0,12794.3,10508.0,8059.6,8131.4,7283.2,8370.1,6963.1,7779.2,8676.1,9020.4,8845.1,9127.9
geoId-LCI,1376.0,1965.0,2074.0,2100.0,1857.0,1981.0,2174.0,2506.0,2623.0,2711.0,2881.0,2942.0,3029.0,3180.8,3349.0,3476.0,3739.0,3866.0,4001.0,4594.4,4964.8,4803.7,5140.7
geoId-LDG,1569.0,1792.0,2184.0,2949.0,1906.0,1820.0,1802.0,1807.0,2020.0,2387.0,2493.0,2946.2,2985.0,3081.7,3219.9,3195.3,3898.0,3467.4,3555.0,5176.3,5957.5,5214.0,5359.2
geoId-LSN,2962.0,3495.0,3534.0,3641.0,3658.0,3703.0,3160.0,3055.0,3284.0,4131.0,3747.0,3932.8,3560.0,3856.3,3898.6,4317.3,4363.6,4495.1,4334.2,5154.1,5291.6,4460.0,4428.1
geoId-NDH,4846.0,5027.0,5415.0,5729.0,5068.0,5399.0,5278.0,5406.0,5533.0,6051.0,6381.5,6633.0,6747.0,7082.0,7231.6,7547.0,7700.0,7543.0,7612.7,8355.0,8812.0,9351.0,9527.2
geoId-NAN,6714.0,9309.0,9693.0,10523.0,10274.0,10951.0,10521.0,10967.0,12599.0,14013.0,14858.0,15758.0,16695.0,17239.1,17659.0,18794.0,21300.3,21959.4,23135.3,25708.0,27824.7,30069.0,32237.0
geoId-NBH,3013.0,2767.0,3054.0,3213.0,2850.0,3036.0,3073.0,2932.0,3394.0,3551.0,3614.0,3688.9,3644.3,4195.3,4176.9,4254.7,5435.2,5454.2,5532.9,5897.1,6269.8,6262.5,6375.2
geoId-NTN,685.0,623.0,658.0,645.0,601.0,390.0,604.0,749.0,857.0,1217.0,1465.0,1744.6,1749.8,1375.1,1583.7,1350.6,1409.2,1473.1,1546.2,1874.4,2114.3,2425.7,2429.9
geoId-PTO,6559.0,6295.0,7060.0,7757.0,7205.0,7887.0,7838.0,8068.0,8495.0,8860.0,11121.0,9789.6,11244.2,11144.3,11366.2,11612.6,12371.4,13063.8,14261.2,14636.0,15650.4,15144.7,15446.9
geoId-PYN,1737.0,1793.0,1866.0,1906.0,1924.0,1899.0,1841.0,1931.0,2065.0,2125.0,2164.0,2799.0,3066.0,3179.3,3250.5,3310.0,3145.0,3245.0,3319.0,3820.3,3883.3,4357.7,4420.2
geoId-QBH,1712.0,1868.0,2067.0,2247.0,2151.0,2055.0,1830.0,1937.0,2253.0,2367.0,2491.0,2357.6,2403.4,2572.9,2636.4,2876.8,3478.9,3550.3,3869.3,3975.0,4978.0,5027.0,5855.9
geoId-QNM,3817.0,3957.0,4031.0,4245.0,4083.0,3922.0,3526.0,3361.0,3410.0,3531.0,3924.0,4690.7,4950.8,4867.1,4929.2,5085.7,5528.0,5806.0,6069.0,7150.0,7352.0,7493.6,7981.6
geoId-QNI,2340.0,2549.0,2657.0,3350.0,3175.0,3307.0,2472.0,2532.0,2405.0,2892.0,3132.0,3458.0,3491.0,3996.6,4108.6,4312.6,4420.4,4683.3,4494.5,5294.8,5605.3,5611.3,5810.3
geoId-QNH,2165.0,1815.0,2299.0,2448.0,2167.0,2105.0,2760.0,2024.0,2113.0,1938.0,2351.0,2508.3,2434.0,2751.4,2735.7,3027.4,3286.4,3404.5,3500.5,3666.0,3872.3,4475.6,4755.9
geoId-QTI,1450.0,1877.0,2202.0,2363.0,2100.0,1829.0,1829.0,1299.0,1438.0,1566.0,1683.0,1795.1,1836.1,1881.2,2086.0,2162.3,2532.6,2494.0,2924.3,2995.5,3670.4,3597.5,3823.1
geoId-STG,2852.0,3083.0,3110.0,3506.0,1917.0,2132.0,2611.0,3122.0,3506.0,4154.0,4454.0,4954.0,5073.0,4844.0,5339.2,5968.0,6092.0,5643.6,6794.0,6582.3,6665.9,7290.0,6415.9
geoId-SLA,2016.0,3051.0,3172.0,3306.0,3171.0,3402.0,3753.0,4848.0,5014.0,4496.0,4873.0,4820.0,5193.0,4514.0,5023.0,5455.0,5828.0,6219.2,6627.2,6920.0,7033.0,7372.1,7720.0
geoId-THA,8180.0,8206.0,9949.0,14467.0,14096.0,16027.0,13500.0,13805.0,12556.0,16606.0,16707.0,17376.0,17751.0,18011.0,17667.0,17520.0,18478.0,18707.0,19627.0,21033.0,22222.0,24118.0,25201.0
geoId-TBH,6615.0,6360.0,7085.0,8531.0,7796.0,8150.0,7699.0,7773.0,7962.0,8549.0,8864.0,9065.8,10834.5,10713.5,11098.3,11541.1,11965.0,12409.7,12777.0,14169.6,14060.7,14085.6,13953.0
geoId-TNN,2621.0,4700.0,5015.0,4818.0,4735.0,4669.0,4844.0,5071.0,5295.0,6066.0,6795.0,7574.0,8285.0,9870.3,9886.8,10747.6,10295.3,10845.0,11641.5,14273.0,15066.1,13600.3,13954.8
geoId-TTH,1414.0,2283.0,2304.0,2450.0,2146.0,1722.0,1400.0,1632.0,1647.0,1835.0,2047.0,2118.4,2177.7,2125.8,2165.6,2171.3,2787.8,2774.4,2966.9,3727.2,4568.6,4464.0,4559.7
geoId-TGG,4831.0,4977.0,5756.0,5801.0,4597.0,4078.0,4807.0,4974.0,5711.0,5967.0,6147.0,6305.2,6564.0,7188.0,7181.7,8901.0,12983.2,11394.1,14674.2,16260.4,17650.7,16068.0,16203.7
