dia phuong,Năm,Tổng số,Rừng sản xuất,Rừng phòng hộ,Rừng đặc dụng
geoId-VNM,2005,96.1,96.9,92.8,90.0
geoId-VNM,2006,108.7,109.3,105.2,111.1
geoId-VNM,2007,98.5,97.3,105.3,105.0
geoId-VNM,2008,105.4,100.9,133.1,47.6
geoId-VNM,2009,121.4,122.5,114.6,220.0
geoId-VNM,2010,89.3,96.0,56.5,170.4
geoId-VNM,2011,90.8,96.5,54.7,63.0
geoId-VNM,2012,98.4,98.0,108.8,62.1
geoId-VNM,2013,104.4,106.6,82.7,66.7
geoId-VNM,2014,104.4,100.2,163.4,125.0
geoId-VNM,2015,108.7,109.3,103.6,93.3
geoId-VNM,2016,97.6,98.7,87.3,100.0
geoId-VNM,2017,107.6,111.2,66.8,150.0
geoId-VNM,2018,99.1,100.1,82.8,90.5
geoId-VNM,2019,95.1,95.5,88.8,73.7
geoId-VNM,2020,100.6,101.7,70.3,128.6
geoId-VNM,2021,107.4,108.0,102.6,55.6
geoId-VNM,Sơ bộ 2022,105.7,104.8,126.3,190.0
