"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-THA,14.8,10.4,13.7,17.9,20.8,24.2,25.7,27.3,31.3,35.0,38.1,40.8,42.7,46.3,49.1,51.8,54.2,56.5,58.6,61.7,65.1,69.3,74.7,79.6,83.0,89.2,93.3,94.3
geoId-TBH,7.6,8.9,8.3,8.3,9.6,11.0,11.2,13.3,14.2,15.9,19.7,22.1,23.3,22.8,26.4,30.9,31.6,34.3,34.9,38.2,40.7,43.2,46.5,50.2,54.2,57.9,60.9,63.0
,6.9,10.2,10.1,10.6,11.7,13.8,13.3,13.6,14.2,15.1,16.2,17.7,18.8,19.8,21.4,23.4,25.0,26.0,27.1,28.5,31.5,23.4,29.0,31.0,32.3,30.6,31.6,32.3
geoId-TGG,35.7,36.9,36.3,44.2,50.7,56.2,57.1,55.8,52.7,51.1,51.2,52.1,52.9,52.2,51.1,53.6,55.1,56.2,57.9,56.0,58.9,59.4,64.0,83.3,104.0,105.2,111.4,106.1
geoId-HCM,12.8,16.0,14.3,14.0,17.3,16.1,17.9,15.2,21.6,20.2,18.5,18.4,14.5,12.0,11.7,7.9,8.2,8.2,8.9,7.7,9.9,9.2,9.7,10.2,10.4,9.6,7.5,7.4
geoId-TVH,15.4,27.8,24.6,17.0,19.7,32.2,32.3,15.0,14.1,8.8,10.4,12.0,14.7,14.6,16.1,24.0,22.9,22.6,19.8,22.8,23.0,23.8,25.1,26.7,40.1,38.7,30.0,26.0
geoId-DNG,15.1,15.6,16.6,15.4,17.0,16.3,18.6,20.4,23.0,21.9,26.4,20.0,26.0,26.6,31.1,31.4,29.6,28.4,28.0,27.3,28.4,28.1,29.4,29.8,31.0,31.5,28.8,30.7
geoId-ST,78.0,88.5,91.4,94.2,101.9,120.5,129.1,146.2,155.9,190.2,199.3,202.4,208.5,211.1,220.3,206.2,219.8,224.0,234.9,240.1,250.4,257.3,266.5,275.5,296.5,301.6,298.5,281.9
geoId-MRD,312.5,338.8,336.2,363.2,424.6,465.7,476.6,493.8,498.7,532.3,529.1,539.0,544.1,563.0,592.3,612.4,637.9,675.7,697.7,760.6,830.2,862.4,887.6,975.8,1067.1,1062.4,1059.0,974.1
geoId-RRD,35.6,39.1,39.1,46.0,54.0,63.0,68.8,75.3,78.6,85.4,87.4,89.8,93.2,95.5,107.4,115.5,117.9,124.9,123.5,133.1,148.6,150.5,161.1,177.6,183.9,203.8,210.8,206.7
