"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-PYN,30.5,42.8,26.4,18.2,17.6,24.3,34.6,46.6,76.2,95.7,173.2,155.2,184.7,247.9,154.8,176.7,280.0,305.7,378.5,354.0,414.1,527.9,502.5,526.4,569.1,664.4,671.9,628.6
geoId-QBH,7.0,15.0,30.2,16.9,28.5,27.9,26.9,27.5,37.8,56.1,74.6,90.4,95.0,96.1,92.3,94.6,96.2,97.3,98.8,108.2,114.6,129.1,118.7,109.3,111.4,111.6,120.5,125.0
geoId-QNM,110.1,96.7,119.3,106.5,95.8,105.0,126.7,160.5,163.2,182.8,180.2,191.2,199.3,199.8,195.9,189.7,214.6,217.0,210.0,214.1,229.2,233.1,207.2,186.2,183.9,185.2,160.8,157.2
geoId-QNI,71.8,72.5,78.7,39.1,53.9,60.7,119.7,158.4,200.5,245.7,268.1,310.8,322.2,350.4,286.7,332.7,367.3,391.1,375.7,354.1,377.9,370.5,353.4,348.6,349.6,340.7,309.3,245.3
geoId-QTI,31.3,32.3,37.2,20.6,29.0,36.8,27.4,40.8,67.6,88.1,121.8,165.3,170.5,171.0,163.8,152.6,171.9,168.6,176.4,192.3,208.8,218.4,207.4,201.0,199.9,201.5,199.1,196.8
geoId-SLA,100.4,118.0,122.7,125.9,116.0,128.5,142.8,159.1,183.0,199.1,192.3,201.0,210.6,270.4,267.9,295.1,351.5,352.6,345.9,371.3,359.5,386.5,377.4,412.6,433.3,432.4,487.4,553.2
geoId-THA,90.1,117.7,89.0,68.6,65.1,78.5,94.9,111.4,129.6,124.3,126.0,142.8,160.8,210.6,195.4,172.6,203.1,218.9,215.9,259.7,261.9,269.5,223.2,217.0,229.4,264.6,206.3,222.9
geoId-TNN,19.0,13.1,27.1,23.2,23.9,31.4,34.3,33.3,38.9,40.6,35.0,39.9,37.6,43.3,56.4,56.9,52.8,55.8,55.7,54.6,50.1,49.3,43.3,37.8,31.9,28.6,25.1,22.9
geoId-TTH,39.5,38.2,37.1,32.5,16.3,27.9,28.3,36.6,56.3,68.4,102.6,103.9,114.0,118.0,129.4,135.1,149.3,140.2,132.2,128.7,131.3,132.3,127.2,116.2,115.5,68.3,77.6,88.8
geoId-TQG,38.5,31.8,53.5,30.0,38.8,38.2,36.0,38.7,40.2,40.5,44.4,68.8,65.0,83.0,55.2,60.7,76.0,62.6,55.5,54.4,59.8,57.6,52.1,44.4,35.4,31.8,28.3,22.8
geoId-TNH,230.9,154.0,307.3,43.0,7.9,9.6,538.7,682.3,800.1,898.7,1071.8,1120.7,1125.9,1248.6,1236.1,1150.7,491.3,1317.3,1347.0,1603.4,1868.3,2024.0,1819.8,1555.3,1671.5,1903.9,1926.4,2024.6
geoId-VLG,5.2,3.5,2.8,1.8,3.3,3.1,3.5,2.8,2.1,1.8,2.4,3.0,3.0,2.8,3.1,3.1,15.4,3.2,2.7,2.9,3.0,2.9,2.8,2.7,2.6,2.7,2.7,2.8
geoId-YBI,74.2,64.3,87.6,70.0,77.3,68.5,76.2,118.6,157.9,206.9,227.4,250.6,272.5,294.5,246.3,259.6,283.0,304.1,325.0,317.0,305.8,288.8,246.7,205.4,187.8,171.6,171.4,170.6
geoId-DBN,,,,,,,,,,48.8,51.8,52.9,54.6,55.4,54.3,54.7,54.6,54.4,57.3,57.0,61.7,60.0,62.0,63.9,68.0,78.7,91.6,105.5
geoId-DLK,49.5,48.6,46.6,37.0,33.2,37.2,50.5,266.4,374.9,202.8,296.2,460.4,421.0,509.8,440.1,479.0,610.0,472.8,571.3,617.6,720.7,709.4,684.7,716.4,860.9,897.2,1089.6,1080.3
geoId-DNG1,,,,,,,,,,216.9,381.0,526.4,454.6,440.8,305.7,280.6,326.2,395.1,347.5,315.4,291.2,244.6,222.3,209.8,164.0,143.5,108.4,83.1
geoId-DNI,125.3,119.4,82.2,63.0,61.5,63.8,312.5,306.3,341.7,382.7,442.2,425.0,481.0,563.7,382.0,361.6,114.4,366.8,373.6,385.2,399.2,399.7,415.0,436.5,363.7,438.7,434.0,433.9
