"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-LSN,150.1,157.7,182.6,181.0,181.5,189.5,235.3,235.5,252.4,265.8,278.7,258.6,288.2,286.7,287.5,295.5,270.6,306.6,313.5,311.3,314.9,326.6,311.1,310.5,302.2,304.2,296.9,309.6
geoId-NDH,807.3,832.0,927.6,971.3,990.1,976.5,979.9,993.5,958.8,1002.6,801.4,984.1,948.9,948.1,907.0,972.5,952.6,953.7,932.4,956.3,954.8,943.8,863.7,911.2,905.9,899.9,894.3,889.4
geoId-NAN,605.2,585.3,727.4,673.8,714.7,832.4,871.3,937.0,981.7,1097.9,1040.7,1143.8,1053.8,1157.7,1084.8,1063.2,1171.6,1170.5,1160.6,1205.7,1214.4,1257.6,1257.1,1216.1,1160.4,1177.8,1250.9,1207.1
geoId-NBH,326.9,290.2,396.2,424.4,448.5,445.5,455.9,470.8,444.6,478.1,415.3,484.3,473.1,492.0,503.2,508.6,513.7,509.2,482.4,505.9,496.9,491.7,459.2,475.8,470.9,462.5,462.6,456.3
geoId-NTN,131.9,131.7,150.6,141.7,171.9,166.1,156.6,158.4,165.7,185.5,117.1,211.0,215.0,248.4,265.7,234.8,280.1,290.0,307.0,326.5,273.4,257.4,327.7,293.4,310.7,249.9,326.9,335.5
geoId-PTO,207.5,216.3,238.5,247.7,285.5,324.8,357.3,400.6,416.6,421.8,430.2,408.3,406.4,421.3,426.2,442.7,470.7,454.6,464.0,461.8,459.9,460.4,454.9,446.3,427.7,429.5,435.3,431.3
geoId-PYN,258.1,276.0,284.8,271.0,291.8,280.4,284.1,298.7,327.1,335.2,328.3,330.4,337.4,312.1,342.1,364.0,365.2,368.7,386.5,387.0,401.9,398.7,396.8,418.1,397.1,412.4,410.6,382.2
geoId-QBH,128.6,159.6,159.7,128.4,177.6,201.6,202.6,217.5,218.8,241.8,236.5,251.0,235.1,261.4,264.8,254.0,281.4,284.0,274.0,299.1,299.1,306.9,310.5,310.4,284.4,297.5,322.1,297.3
geoId-QNM,319.5,345.8,346.7,346.3,359.5,356.4,366.0,378.4,422.6,426.9,410.7,433.4,446.3,434.7,444.5,468.4,473.6,505.9,495.8,526.6,518.6,499.9,520.0,519.1,505.9,508.1,518.8,492.3
geoId-QNI,260.4,313.5,303.5,319.1,348.6,336.6,335.6,362.2,401.3,404.8,413.7,427.1,434.2,408.0,420.2,443.0,433.0,462.1,468.5,480.2,483.7,475.1,499.7,500.6,490.8,477.7,500.5,493.0
geoId-QNH,122.7,142.3,155.7,163.2,171.1,189.0,198.8,213.8,230.6,235.3,237.1,221.1,230.6,228.1,226.1,232.8,236.6,239.2,232.9,234.0,235.2,235.4,219.3,229.9,225.8,226.4,223.2,223.3
geoId-QTI,122.6,143.0,153.7,122.6,178.8,194.4,187.7,207.2,206.4,219.5,205.8,219.7,220.1,226.2,220.6,221.3,232.6,250.5,233.6,269.9,251.1,275.9,257.4,289.9,287.1,289.5,294.4,249.2
geoId-STG,1092.9,1156.2,1186.5,1388.4,1513.9,1624.7,1534.1,1650.5,1615.8,1535.0,1643.7,1611.6,1612.1,1752.9,1795.3,1980.9,2104.4,2265.9,2235.9,2280.0,2291.9,2131.0,2122.0,2149.4,2189.8,2091.8,2068.7,2052.8
geoId-SLA,145.0,151.8,160.7,182.9,196.6,243.9,263.7,315.3,329.6,351.9,356.3,408.2,592.8,652.0,667.0,564.5,662.5,830.2,836.0,841.0,766.0,781.5,741.8,656.3,582.1,563.2,545.4,535.1
geoId-THA,916.6,789.4,1070.4,1074.1,1188.4,1222.5,1330.4,1408.1,1460.9,1571.8,1481.7,1631.6,1574.6,1635.8,1660.5,1612.5,1641.4,1682.1,1650.0,1737.8,1720.8,1726.2,1688.4,1609.7,1607.1,1574.1,1611.8,1584.7
geoId-TBH,966.4,1011.9,975.5,993.9,1081.2,1071.2,1013.0,1102.6,964.4,1124.9,1033.3,1122.1,1062.8,1154.2,1150.7,1153.7,1140.8,1110.1,1098.0,1116.6,1123.4,1120.1,1013.7,1094.1,1083.2,1074.6,1057.0,1045.6
geoId-TNN,189.5,224.3,249.8,256.2,278.8,296.3,316.4,348.9,357.2,369.0,377.3,380.4,399.2,417.2,407.3,415.0,448.7,443.8,444.6,445.1,469.3,470.9,458.8,466.3,463.9,460.2,461.8,458.2
geoId-TTH,167.7,188.4,198.4,189.3,217.2,199.2,208.3,214.8,239.7,250.8,240.1,259.9,266.1,280.1,288.3,291.2,305.3,305.9,291.3,323.3,325.7,330.5,334.1,341.0,333.1,326.1,348.3,272.5
geoId-TGG,1194.8,1231.7,1325.1,1326.1,1307.7,1307.5,1293.2,1293.6,1276.6,1325.0,1314.0,1219.1,1320.1,1336.5,1323.6,1336.3,1349.4,1385.4,1363.6,1384.8,1360.2,1283.1,1265.5,1271.4,1137.4,813.5,844.4,847.1
geoId-HCM,238.5,206.0,237.8,228.9,228.7,238.7,212.8,180.6,166.7,162.2,136.9,108.3,116.6,113.4,104.1,94.8,88.1,95.6,93.8,93.1,91.6,87.0,88.2,82.1,83.6,85.8,85.4,85.7
geoId-NT,2003.3,2172.8,2368.9,2432.4,2665.2,2933.8,3209.6,3432.1,3632.9,3815.8,3908.3,3961.5,4293.9,4448.9,4569.3,4623.5,4900.2,5115.3,5164.9,5232.1,5249.3,5345.2,5236.7,5184.6,5100.8,5108.3,5122.5,5124.9
geoId-TVH,648.8,679.7,720.1,749.8,844.3,952.4,911.9,1018.5,1067.0,1055.1,1052.1,1033.7,953.6,1115.4,1102.8,1183.0,1184.3,1284.2,1303.2,1356.6,1369.5,978.8,1159.6,1288.4,1279.4,960.3,1170.4,1079.5
geoId-TQG,158.5,176.1,187.1,196.9,211.1,223.1,274.4,270.4,297.3,303.4,308.8,307.4,325.6,323.3,324.0,332.5,338.3,327.1,337.6,333.4,347.3,344.7,344.5,340.3,342.7,349.0,347.3,346.1
geoId-TNN,542.4,597.1,697.5,653.4,739.8,907.1,1009.7,1113.8,1532.8,1531.2,1680.4,1894.7,1923.2,2015.3,2116.8,2226.3,2278.2,2378.9,2454.2,2571.9,2505.5,2436.1,2539.3,2587.5,2598.9,2514.1,2502.5,2532.9
geoId-TNH,309.0,398.4,415.6,413.6,523.2,555.4,567.1,605.3,660.5,671.4,622.2,629.4,674.3,736.2,753.6,768.8,788.5,804.4,769.3,768.6,788.4,784.6,816.6,845.4,834.9,826.1,839.6,839.0
