"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-LCI,6.0,201.0,188.0,193.0,122,129,213,257,253.0,260.0,252.0,,12.0,10.0,21.0,76.0,243.0,264.0,295.0,230.0,119.0,144.0,118.0
geoId-LDG,716.0,355.0,367.0,452.0,1884,1978,791,797,897.0,916.0,948.0,376.0,457.0,484.0,759.0,817.0,932.0,954.0,964.0,925.0,491.0,512.0,534.0
geoId-LSN,5.0,77.0,77.0,158.0,127,126,27,31,26.0,31.0,25.0,2.0,2.0,4.0,6.0,3.0,6.0,6.0,6.0,7.0,9.0,10.0,11.0
geoId-NDH,261.0,344.0,344.0,580.0,761,1134,927,997,963.0,1170.0,1265.0,306.0,366.0,391.0,412.0,424.0,426.0,432.0,404.0,387.0,293.0,296.0,312.0
geoId-NAN,1336.0,306.0,316.0,772.0,853,1072,954,979,1133.0,1723.0,1859.0,159.0,230.0,239.0,314.0,327.0,464.0,496.0,503.0,526.0,397.0,400.0,436.0
geoId-NBH,379.0,294.0,294.0,411.0,571,693,635,630,723.0,744.0,797.0,15.0,30.0,56.0,108.0,110.0,152.0,159.0,162.0,159.0,115.0,125.0,177.0
geoId-NTN,407.0,706.0,757.0,972.0,1172,1048,930,930,756.0,756.0,814.0,45.0,52.0,50.0,55.0,67.0,57.0,64.0,62.0,60.0,82.0,95.0,97.0
geoId-PTO,179.0,192.0,192.0,450.0,457,489,470,470,555.0,892.0,935.0,65.0,112.0,124.0,136.0,167.0,280.0,278.0,304.0,335.0,261.0,290.0,282.0
geoId-PYN,1293.0,910.0,915.0,2502.0,2613,2701,2735,2750,2661.0,2661.0,2702.0,45.0,64.0,74.0,101.0,123.0,182.0,184.0,176.0,178.0,72.0,70.0,74.0
geoId-QBH,318.0,425.0,425.0,713.0,714,700,796,849,943.0,1325.0,1587.0,531.0,579.0,616.0,627.0,651.0,706.0,725.0,698.0,600.0,293.0,319.0,321.0
geoId-QNM,305.0,423.0,456.0,703.0,798,916,933,917,994.0,994.0,1165.0,86.0,98.0,111.0,117.0,117.0,139.0,140.0,139.0,139.0,122.0,129.0,124.0
geoId-QNI,43.0,63.0,74.0,304.0,349,353,322,337,363.0,376.0,377.0,,20.0,20.0,31.0,43.0,46.0,60.0,66.0,63.0,62.0,59.0,69.0
geoId-QNH,568.0,863.0,857.0,1277.0,1219,1323,1378,1352,1440.0,2161.0,2253.0,63.0,141.0,212.0,316.0,329.0,319.0,341.0,358.0,310.0,149.0,141.0,161.0
geoId-QTI,256.0,525.0,529.0,604.0,668,746,741,957,911.0,1060.0,902.0,5.0,24.0,26.0,32.0,39.0,50.0,70.0,57.0,64.0,62.0,79.0,90.0
geoId-STG,2246.0,2165.0,2167.0,2794.0,4757,4757,6186,6317,6442.0,6049.0,6130.0,325.0,328.0,380.0,370.0,452.0,513.0,501.0,495.0,495.0,414.0,431.0,431.0
geoId-SLA,94.0,38.0,48.0,110.0,126,120,92,89,111.0,114.0,114.0,29.0,29.0,29.0,37.0,48.0,271.0,273.0,337.0,460.0,235.0,250.0,257.0
geoId-THA,1874.0,1564.0,1661.0,2326.0,2882,3359,3384,3655,3687.0,3963.0,4146.0,374.0,530.0,587.0,697.0,710.0,914.0,934.0,966.0,998.0,871.0,900.0,925.0
geoId-TBH,155.0,105.0,125.0,347.0,543,1182,2875,2920,2989.0,3281.0,3376.0,524.0,600.0,650.0,721.0,781.0,969.0,1014.0,926.0,791.0,590.0,606.0,615.0
geoId-TNN,320.0,379.0,379.0,429.0,661,662,587,584,638.0,702.0,923.0,270.0,416.0,445.0,548.0,548.0,800.0,753.0,783.0,783.0,761.0,753.0,780.0
geoId-TTH,20.0,149.0,212.0,341.0,488,489,478,482,497.0,546.0,591.0,20.0,40.0,42.0,45.0,48.0,71.0,71.0,71.0,78.0,33.0,42.0,42.0
geoId-TGG,420.0,225.0,307.0,1079.0,1360,1989,2213,2440,2995.0,2987.0,3034.0,167.0,297.0,283.0,370.0,410.0,453.0,520.0,528.0,662.0,462.0,543.0,490.0
geoId-HCM,129.0,225.0,229.0,430.0,2044,1968,1812,1813,1413.0,1830.0,2055.0,110.0,140.0,169.0,138.0,215.0,239.0,214.0,171.0,211.0,249.0,85.0,80.0
geoId-NT,2507.0,2473.0,2516.0,3949.0,4165,4545,3850,3835,4423.0,4680.0,6108.0,593.0,929.0,1120.0,1456.0,1637.0,2800.0,2814.0,3030.0,3178.0,2463.0,2493.0,2541.0
geoId-TVH,,757.0,786.0,1641.0,2546,2584,2601,2328,2290.0,1807.0,1820.0,19.0,63.0,70.0,96.0,108.0,105.0,109.0,109.0,100.0,595.0,673.0,694.0
geoId-TQG,77.0,68.0,68.0,84.0,83,99,77,54,54.0,81.0,95.0,23.0,23.0,37.0,90.0,111.0,287.0,305.0,354.0,404.0,358.0,373.0,335.0
geoId-TNN,3589.0,6035.0,6223.0,6650.0,9450,9623,8730,9240,9481.0,8835.0,8932.0,2528.0,2622.0,2676.0,2928.0,3275.0,4042.0,4056.0,3645.0,3518.0,1740.0,1948.0,2022.0
geoId-TNH,1512.0,1874.0,1872.0,2232.0,2250,2371,2053,2056,2086.0,2070.0,2411.0,856.0,987.0,937.0,1092.0,1091.0,657.0,666.0,658.0,539.0,580.0,574.0,552.0
geoId-VLG,163.0,155.0,157.0,159.0,345,371,361,379,405.0,529.0,519.0,32.0,37.0,40.0,87.0,99.0,107.0,114.0,113.0,99.0,96.0,102.0,103.0
geoId-VPC,115.0,124.0,146.0,475.0,482,525,686,832,946.0,1327.0,1953.0,311.0,508.0,589.0,600.0,691.0,1007.0,979.0,961.0,1130.0,726.0,665.0,735.0
geoId-YBI,695.0,839.0,857.0,877.0,928,1030,319,319,307.0,409.0,438.0,7.0,9.0,14.0,19.0,18.0,18.0,16.0,32.0,34.0,17.0,21.0,15.0
geoId-DBN,94.0,23.0,36.0,122.0,139,113,127,138,152.0,168.0,198.0,,5.0,8.0,12.0,10.0,9.0,7.0,19.0,13.0,6.0,6.0,3.0
geoId-DNG,36.0,259.0,199.0,283.0,252,260,327,328,328.0,328.0,332.0,12.0,11.0,9.0,9.0,10.0,19.0,18.0,19.0,19.0,13.0,13.0,16.0
geoId-ST,8265.0,10831.0,10165.0,12682.0,15866,15864,14077,14024,13792.0,15174.0,15945.0,5389.0,5474.0,5565.0,6098.0,6727.0,6792.0,6795.0,6067.0,6126.0,4718.0,4390.0,4291.0
geoId-DLK,1418.0,3989.0,4032.0,4088.0,1240,1391,802,1235,1198.0,1481.0,1492.0,535.0,582.0,553.0,583.0,668.0,927.0,960.0,780.0,786.0,678.0,898.0,928.0
geoId-DNG1,,,,,3886,3774,4592,4591,4664.0,3514.0,3501.0,985.0,913.0,953.0,876.0,1057.0,1226.0,1215.0,1211.0,1216.0,234.0,254.0,260.0
geoId-MRD,31967.0,31190.0,31967.0,42945.0,56128,56582,54442,55023,57483.0,65747.0,69830.0,6306.0,6892.0,6766.0,7599.0,7347.0,6270.0,6305.0,5957.0,6044.0,5425.0,5556.0,5431.0
geoId-RRD,2214.0,2697.0,2796.0,6308.0,9350,10960,15222,16085,17318.0,20581.0,23574.0,3512.0,4472.0,5197.0,6133.0,7258.0,9946.0,10023.0,9192.0,9321.0,6393.0,6306.0,6601.0
geoId-DNI,1243.0,1786.0,1790.0,2140.0,3117,3118,3240,3187,3387.0,3183.0,3231.0,1764.0,1621.0,1749.0,2532.0,3055.0,3810.0,3830.0,3261.0,3390.0,2377.0,2160.0,2032.0
geoId-DTP,147.0,3510.0,3505.0,3624.0,4729,4687,4319,4537,4619.0,5096.0,5097.0,219.0,229.0,224.0,361.0,370.0,470.0,458.0,447.0,376.0,433.0,453.0,414.0
