"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KTM,3.1,3.0,3.7,1.9,1.3,3.6,7.7,8.4,2.6,2.5,0.6,1.4,3.9,2.2,6.3,6.0,1.7,1.7,2.0,2.6,2.0,1.7,1.0,0.9,1.0,1.0,4.8,5.4
geoId-LCU,2.2,1.1,2.3,1.4,2.2,1.8,1.9,2.4,0.6,1.3,3.3,1.8,0.8,0.6,6.2,1.6,1.5,1.8,1.5,1.1,2.3,3.2,3.6,2.0,1.3,1.2,1.7,2.9
geoId-LAN,0.1,1.1,2.0,2.0,3.5,6.6,6.7,7.2,7.5,5.6,1.4,0.1,0.1,,0.5,0.1,0.1,0.1,,,2.0,1.0,1.0,1.4,1.5,1.3,0.7,0.6
geoId-LCI,4.1,4.1,4.6,3.3,2.9,2.4,2.7,2.2,2.2,2.0,2.0,4.6,5.6,4.5,7.5,5.7,5.8,6.0,7.4,8.7,10.6,10.6,9.7,7.6,5.8,6.2,10.1,8.1
geoId-LDG,3.1,3.0,4.2,3.5,2.2,1.9,1.7,5.5,3.8,3.1,2.0,2.1,2.1,2.5,1.1,4.7,4.3,3.9,2.5,2.9,2.4,1.2,2.5,2.2,1.7,1.4,1.4,1.2
geoId-LSN,2.5,6.4,8.9,8.6,13.0,15.2,10.6,7.2,11.7,10.1,4.9,5.6,5.2,6.4,6.4,9.3,8.0,7.0,7.5,6.5,9.2,9.4,10.0,9.7,10.0,10.0,11.0,11.0
geoId-NDH,0.7,0.8,1.2,0.9,0.5,0.5,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.0,0.1,0.1,0.1,,,,,
geoId-NAN,9.7,11.8,9.5,6.7,6.8,10.9,10.5,10.4,10.0,10.2,10.0,9.5,9.7,9.1,16.0,16.7,17.0,16.2,17.6,18.2,19.5,19.6,22.3,19.3,18.0,18.5,19.8,23.5
geoId-NBH,1.5,2.3,0.8,0.6,0.8,0.3,0.2,0.4,0.3,0.2,0.3,0.5,0.6,0.3,0.4,,0.2,0.0,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
geoId-NTN,1.9,0.6,0.8,0.8,1.6,2.1,3.1,2.9,0.7,0.5,1.0,0.9,0.4,0.4,6.8,0.5,1.0,0.1,0.1,0.5,0.6,0.6,0.5,0.3,0.4,0.6,0.5,1.2
geoId-PTO,3.8,3.8,5.3,3.6,3.6,4.1,4.6,5.5,7.3,9.4,8.4,8.5,6.3,6.9,4.9,9.8,6.5,6.3,6.6,7.1,8.4,9.7,9.8,10.5,10.1,9.9,9.3,9.3
geoId-PYN,6.5,6.1,3.0,2.5,2.6,2.4,2.0,2.8,4.6,3.3,3.4,2.4,2.4,3.9,3.0,4.3,4.9,5.0,5.0,7.1,5.5,5.1,6.8,5.7,7.6,8.3,7.7,7.7
geoId-QBH,4.0,4.9,4.2,4.3,5.1,5.4,6.3,2.2,2.0,2.2,4.4,4.2,4.5,4.7,4.3,5.1,5.6,4.3,4.4,5.4,6.5,6.8,7.0,12.2,8.9,8.7,8.8,10.5
geoId-QNM,9.1,4.8,7.4,5.1,8.8,5.8,5.0,4.6,6.3,6.8,7.8,8.7,9.5,10.4,3.8,11.0,11.2,13.8,13.2,15.9,14.6,15.4,17.7,18.9,19.5,20.0,20.7,22.0
geoId-QNI,5.9,4.1,4.5,1.8,4.6,2.4,3.8,2.8,4.5,6.7,7.9,5.1,5.2,6.2,10.7,8.0,10.3,10.4,14.9,17.3,18.5,18.1,19.9,21.1,23.5,23.9,27.5,28.1
geoId-QNH,7.3,4.5,5.6,5.9,6.0,7.3,5.3,6.2,6.9,7.6,8.7,13.2,15.5,16.6,16.0,15.1,11.9,13.5,12.7,13.4,13.2,12.2,12.3,12.3,10.7,11.2,12.5,15.5
geoId-QTI,5.2,5.1,4.9,4.0,4.6,6.9,6.6,5.2,5.3,5.8,4.6,4.5,4.2,4.3,3.6,7.4,6.6,4.1,7.4,6.8,7.1,8.5,8.9,8.9,9.1,9.9,9.8,10.1
geoId-STG,,0.9,0.6,0.7,0.6,1.0,0.6,0.5,0.2,0.3,0.2,0.3,0.3,1.1,0.4,0.6,0.5,0.7,0.3,0.8,1.4,0.7,0.9,1.2,0.9,0.9,0.7,0.8
geoId-SLA,3.4,5.5,8.6,10.1,8.6,7.9,8.3,6.8,6.4,4.5,3.7,3.5,2.2,3.1,4.6,5.4,4.1,3.2,1.8,2.7,5.3,5.9,4.4,3.8,3.9,3.8,2.4,5.5
geoId-THA,12.7,10.0,8.4,6.4,5.2,4.6,6.7,5.8,5.9,5.6,8.9,10.0,10.1,11.0,12.0,15.6,8.5,10.9,10.7,11.2,12.7,10.5,10.5,10.6,10.7,12.4,12.3,12.5
geoId-TBH,0.4,2.6,2.3,1.1,1.1,0.8,0.8,0.9,1.3,1.2,1.2,1.3,0.5,0.4,0.6,1.0,0.0,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.2,0.2,,
geoId-TNN,2.0,2.8,2.0,2.4,2.0,1.9,2.5,2.0,2.2,1.9,2.1,3.1,5.5,6.4,5.4,7.5,6.9,8.2,9.6,9.8,9.9,10.7,11.2,11.6,7.0,4.8,5.8,6.0
geoId-TTH,5.4,5.5,4.8,2.4,3.6,5.4,5.1,3.6,3.6,4.1,5.2,3.9,4.8,5.3,4.0,4.0,4.1,4.2,4.3,4.3,4.2,5.9,6.1,6.1,6.2,6.5,7.2,7.2
geoId-TGG,0.4,0.7,0.2,0.3,0.1,0.4,0.8,1.0,2.1,1.3,,,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,,0.2,0.1,0.1,,,0.1
