"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,30.0,36.2,37.0,35.8,31.8,29.1,21.8,18.7,8.9,8.5,10.5,10.1,7.3,7.1,4.7,4.7,4.7,2.9,1.9,2.1,2.4,2.5,2.5,2.0,1.6,1.4,1.3,1.4
geoId-HGG,,,,,,,,,11.3,9.2,9.1,9.2,9.5,10.4,10.2,10.2,9.9,10.0,10.2,10.8,10.8,11.5,14.0,13.7,13.9,14.2,14.6,15.4
geoId-KHA,43.6,55.0,56.7,34.9,30.3,34.3,36.4,34.4,31.6,33.7,39.8,33.0,40.1,40.8,37.0,37.0,38.8,40.9,38.3,44.1,48.5,64.8,79.7,345.6,103.7,94.1,73.9,90.5
geoId-KGG,41.3,27.6,34.9,8.7,24.1,26.9,29.6,125.4,90.4,42.9,57.6,60.0,59.3,59.4,37.1,42.9,42.8,43.4,43.5,40.7,38.1,35.7,35.4,35.3,34.9,34.3,38.1,39.6
geoId-KTM,42.0,50.9,51.1,46.7,31.9,31.8,26.3,39.9,41.0,40.1,38.4,31.8,37.0,42.7,67.4,67.4,80.9,105.7,99.3,69.5,86.9,102.7,120.5,133.7,139.6,146.3,150.3,157.7
geoId-LCU,125.0,98.6,94.7,95.8,101.2,108.6,113.9,117.8,11.9,9.7,5.5,5.7,6.0,8.1,9.5,9.5,7.9,9.6,8.7,8.5,8.0,7.9,7.8,7.1,6.9,6.7,6.6,6.7
geoId-LAN,221.0,130.2,95.0,97.0,70.0,65.0,68.3,70.0,72.7,76.5,84.7,87.0,88.8,81.6,93.9,123.7,124.9,125.5,127.4,129.3,128.6,129.3,131.2,133.8,135.9,138.7,139.8,146.6
geoId-LCI,48.6,55.6,22.2,22.2,22.1,25.0,29.9,29.9,30.6,34.2,32.4,34.3,30.1,37.1,152.2,152.2,142.5,148.1,131.4,107.8,112.1,142.6,134.3,138.6,146.4,138.6,177.7,138.7
geoId-LDG,88.0,42.9,55.9,48.3,36.7,38.5,39.5,57.7,79.8,65.5,47.6,47.6,53.4,73.6,104.4,107.5,121.9,165.4,157.0,152.5,121.9,94.9,86.3,57.8,68.4,51.5,86.1,88.1
geoId-LSN,63.0,68.2,67.2,65.4,70.0,63.9,67.7,67.9,63.0,60.0,64.1,65.8,69.8,74.4,88.8,88.8,89.7,92.9,99.2,99.2,102.2,102.7,112.3,117.9,137.9,138.3,184.6,248.8
geoId-NDH,32.3,28.6,20.7,17.7,14.0,11.2,9.3,7.9,6.8,6.7,7.0,6.8,6.9,7.0,7.5,7.5,7.6,7.8,7.9,7.8,7.3,6.9,3.5,4.6,4.5,4.5,4.6,4.6
geoId-NAN,125.0,141.8,123.1,110.7,93.0,93.8,92.6,85.0,95.2,92.1,93.5,92.7,98.9,102.5,221.4,221.4,234.6,247.2,391.5,528.5,660.5,791.9,938.9,966.8,1160.3,1319.7,1502.1,1666.3
geoId-NBH,19.0,16.3,6.2,9.6,7.5,7.5,7.7,7.5,7.6,8.7,16.6,16.9,17.0,16.7,9.6,9.6,7.7,9.8,10.2,16.1,20.7,20.9,20.5,23.3,23.9,26.2,25.4,25.5
geoId-NTN,12.0,10.8,12.7,7.6,4.6,6.1,8.0,8.7,11.6,5.0,3.3,3.9,2.1,3.5,3.8,3.8,3.8,6.6,7.7,8.9,1.4,1.7,4.5,2.2,2.3,1.1,2.2,1.1
geoId-PTO,65.8,65.6,44.8,42.0,46.1,47.2,47.8,50.6,77.7,109.4,150.4,172.1,182.0,217.7,270.7,270.7,319.9,331.5,348.8,379.9,437.9,518.8,571.7,630.9,678.7,700.1,718.1,741.4
geoId-PYN,22.6,21.0,26.2,15.3,12.6,13.2,15.5,13.2,12.2,11.1,11.7,13.6,18.5,21.5,93.0,93.0,186.8,180.5,206.3,199.8,185.0,441.0,373.4,273.3,337.9,403.9,391.0,419.9
geoId-QBH,43.0,38.4,32.8,28.2,17.7,30.8,29.2,29.2,48.3,39.6,37.3,34.8,43.5,45.0,132.5,115.5,136.5,218.5,253.6,227.1,226.4,282.5,440.0,493.3,570.2,578.3,571.2,585.1
geoId-QNM,125.0,83.4,75.3,65.9,64.4,69.1,69.2,64.2,64.3,91.7,128.7,141.2,156.0,206.3,366.2,366.2,391.5,437.3,583.8,671.7,846.0,905.1,1015.6,1156.6,1326.9,1450.2,1531.0,1638.0
geoId-QNI,45.9,53.6,63.4,61.0,60.5,57.9,57.9,77.5,92.2,150.6,151.4,150.2,180.6,180.7,289.3,289.3,419.4,424.5,590.6,783.2,899.3,1099.1,1211.5,1313.2,1761.1,1871.0,2133.6,2302.5
geoId-QNH,36.0,36.9,25.8,17.9,13.1,15.1,16.0,21.1,22.9,23.3,54.2,60.1,85.2,93.8,175.4,175.4,280.3,299.8,381.6,429.8,395.0,366.7,371.1,376.8,383.2,401.4,552.4,740.7
geoId-QTI,23.9,43.2,19.7,16.4,8.9,13.4,20.9,24.7,27.6,34.3,44.6,48.4,54.2,66.0,305.0,305.0,330.6,341.4,520.2,525.5,553.5,631.0,696.2,823.1,951.0,922.9,944.0,1105.9
geoId-STG,19.4,17.0,14.9,20.2,23.7,22.5,22.3,22.6,29.6,26.7,38.8,39.0,39.9,35.6,81.4,38.7,32.7,33.3,33.3,33.3,87.2,106.2,116.1,97.6,95.3,98.6,87.2,99.4
geoId-SLA,101.0,102.4,97.8,95.6,89.4,87.1,67.6,47.6,57.5,54.1,53.4,52.0,51.8,50.1,44.3,44.3,44.0,44.8,42.3,42.4,42.1,41.4,42.6,42.1,41.9,25.6,26.1,23.5
geoId-THA,65.0,61.0,51.0,42.9,47.8,39.4,39.1,32.5,35.0,33.1,33.7,46.1,45.8,51.6,197.2,197.2,207.3,233.3,263.5,347.8,434.8,498.8,551.0,617.7,667.7,701.7,698.6,828.0
geoId-TBH,45.3,56.3,27.1,26.5,9.7,8.7,8.8,8.5,6.5,5.7,4.6,3.8,3.9,3.9,2.8,3.8,3.6,3.7,3.2,3.0,3.0,2.9,2.4,2.1,2.1,2.2,2.3,2.3
geoId-TNN,39.7,57.9,23.7,15.8,11.8,11.9,11.6,11.1,23.8,22.7,27.1,28.7,29.0,37.3,264.3,264.3,271.2,273.2,271.0,262.7,272.5,232.7,242.1,259.8,280.9,301.8,261.8,320.1
geoId-TTH,34.5,41.7,31.3,28.0,30.2,31.1,26.3,27.0,46.1,49.1,54.2,58.1,64.6,61.1,272.0,272.0,293.3,316.1,350.8,390.6,511.9,497.3,576.5,598.8,609.2,587.1,597.0,599.9
geoId-TGG,50.0,70.7,60.1,61.0,61.0,61.7,61.5,61.7,66.5,67.1,74.0,75.3,76.5,78.0,80.0,80.0,80.1,83.2,65.9,61.8,58.0,50.2,51.5,47.9,42.5,39.4,37.8,34.5
geoId-HCM,18.3,15.3,14.0,20.2,15.4,34.6,28.2,38.8,9.1,13.7,14.0,21.8,13.7,13.5,7.6,65.2,63.9,50.8,58.6,87.7,91.4,88.1,89.1,59.4,46.7,27.9,6.7,2.4
geoId-NT,790.0,819.4,665.5,652.8,692.3,719.5,751.1,716.2,687.3,786.5,996.7,1063.6,1185.8,1208.7,1738.6,1738.6,1858.2,2270.4,2589.3,2785.2,3255.0,3526.2,3820.8,4087.8,4315.1,4419.3,4864.0,5183.4
