"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,2.3,1.8,1.3,1.6,2.1,2.0,1.8,1.7,2.2,2.2,2.7,2.9,3.2,3.2,3.2,3.2,3.0,3.0,2.6
geoId-KHA,5.2,4.9,3.9,4.3,4.9,5.0,5.2,5.0,5.1,5.0,5.2,5.6,5.9,5.7,6.0,6.0,6.3,6.6,6.7,6.7,6.1,6.4,6.6,6.4,5.9,5.3,5.2,5.2
geoId-KGG,,0.1,,,,,,0.1,0.2,0.1,,0.0,,0.0,0.1,,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3
geoId-KTM,2.7,3.2,3.4,3.6,4.1,4.4,5.9,7.2,8.1,8.7,9.7,9.2,8.7,8.0,8.2,8.0,7.3,7.2,7.3,6.7,6.4,6.4,6.2,5.9,5.5,5.3,5.5,5.3
geoId-LCU,27.2,29.1,29.0,29.7,30.1,31.1,32.1,33.8,36.9,15.0,16.0,17.0,17.8,18.2,18.7,19.4,20.0,21.4,21.2,22.1,22.7,22.8,22.1,21.2,21.1,21.3,20.8,20.5
geoId-LAN,0.1,0.1,0.5,0.2,0.4,0.4,1.9,1.3,2.4,2.2,3.2,4.6,4.6,5.1,4.0,5.2,4.9,4.0,3.9,4.2,4.2,2.4,1.4,1.3,0.7,0.4,0.3,0.3
geoId-LCI,19.3,20.1,21.2,21.0,22.0,22.5,23.5,24.3,24.6,23.9,24.7,25.1,26.6,28.8,29.6,31.1,32.7,33.7,34.7,39.1,36.8,37.6,38.1,37.8,37.7,38.2,36.4,35.1
geoId-LDG,12.1,14.4,14.8,15.5,13.7,12.4,13.2,15.9,16.4,16.2,18.3,19.4,19.9,18.4,17.9,16.2,16.8,17.7,16.5,15.4,13.9,12.8,12.0,9.8,8.6,7.7,7.4,7.4
geoId-LSN,10.4,10.2,10.6,10.1,10.6,12.7,13.8,13.9,15.0,17.6,18.4,17.7,19.1,20.7,20.2,20.2,20.9,21.8,22.0,21.6,22.1,22.2,21.3,21.0,19.6,19.4,18.7,19.2
geoId-NDH,6.9,7.4,7.1,6.0,5.1,3.4,2.8,2.9,3.5,4.1,4.7,5.1,4.1,4.6,4.4,4.9,5.0,4.7,4.2,4.3,4.4,4.4,4.7,4.2,3.7,3.3,2.9,2.9
geoId-NAN,24.7,27.0,35.0,31.1,37.7,37.5,33.9,35.5,45.1,60.3,64.4,67.1,59.6,61.4,54.0,62.9,57.9,55.8,56.2,55.7,58.9,58.7,56.0,48.4,47.7,45.5,45.7,45.8
geoId-NBH,5.2,6.9,7.7,6.8,6.6,6.7,5.1,4.9,5.1,5.0,5.7,5.9,8.4,6.9,6.0,7.1,7.2,6.1,6.1,6.3,6.8,6.6,6.1,5.1,5.5,5.2,4.8,4.3
geoId-NTN,6.8,7.1,8.0,8.0,8.8,10.8,10.5,10.3,10.9,12.3,13.3,13.5,14.2,14.7,15.2,14.5,15.8,15.8,15.4,14.0,11.8,11.7,12.9,11.7,11.0,10.2,11.4,11.1
geoId-PTO,9.6,11.5,13.1,12.8,16.1,16.2,14.9,16.2,19.3,20.1,20.3,18.0,21.6,23.1,16.4,20.7,21.4,17.4,18.6,18.7,19.2,18.7,18.2,16.7,17.1,16.9,17.0,17.3
geoId-PYN,2.9,4.3,4.5,3.6,3.7,4.0,4.9,5.3,5.6,5.8,6.2,6.9,5.8,6.4,6.6,6.9,6.6,6.0,6.3,6.2,5.9,5.8,5.5,6.0,5.2,4.6,4.2,4.0
geoId-QBH,2.7,2.8,3.1,2.8,3.4,3.3,3.3,3.2,3.1,3.9,4.1,4.7,4.8,5.1,4.6,4.5,4.6,4.6,4.5,4.5,4.7,4.9,4.9,4.7,4.4,4.3,4.7,4.5
geoId-QNM,5.7,6.0,6.7,6.0,7.3,8.9,9.7,9.8,10.6,10.7,10.5,11.6,11.7,12.3,12.5,13.1,13.1,13.4,12.7,13.4,13.1,12.6,12.6,12.0,11.6,11.5,11.7,11.6
geoId-QNI,4.5,4.9,5.4,6.2,6.3,7.7,8.4,8.4,8.5,9.5,9.8,10.2,10.6,10.6,10.8,10.3,10.2,10.6,10.6,10.5,10.2,10.4,10.6,10.4,10.3,10.3,10.2,10.0
geoId-QNH,2.8,3.2,3.8,4.1,4.5,4.9,4.6,4.8,5.2,5.8,6.4,6.1,6.3,6.8,6.3,6.6,6.3,6.0,5.8,5.9,5.9,5.8,5.7,5.3,5.4,6.1,5.6,5.8
geoId-QTI,1.6,1.7,1.9,1.5,2.1,1.9,1.9,2.1,2.3,2.6,2.9,3.0,3.2,3.8,3.3,3.6,3.6,3.8,3.6,3.8,3.9,4.1,4.2,4.2,3.8,3.8,4.4,4.5
geoId-STG,2.4,2.3,2.5,2.7,2.6,2.7,2.8,2.5,1.8,2.6,2.8,2.8,2.9,3.7,3.9,3.7,3.7,3.8,4.2,3.8,4.1,4.0,4.2,4.2,4.4,2.8,2.3,2.3
geoId-SLA,25.2,24.4,29.3,35.4,42.5,51.6,55.2,64.9,64.6,68.2,80.9,82.4,117.8,132.3,132.1,132.7,127.5,168.7,162.8,162.5,159.9,152.4,138.1,113.8,95.4,85.3,78.2,72.7
geoId-THA,31.5,36.9,36.7,40.8,45.8,46.4,44.3,49.5,54.1,63.7,65.3,63.8,59.4,60.7,53.7,54.4,52.8,49.1,52.0,54.7,56.8,52.9,50.5,45.0,46.1,42.7,41.9,40.8
geoId-TBH,8.5,11.2,11.5,6.5,5.4,4.7,4.4,5.0,7.3,11.3,10.0,8.3,9.2,9.3,8.5,9.2,9.2,9.3,9.3,10.1,11.1,12.1,13.1,11.5,10.7,10.8,10.3,9.0
geoId-TNN,5.2,7.3,10.2,10.7,10.3,10.7,9.7,11.6,13.4,15.9,15.9,15.3,17.8,20.6,17.4,17.9,18.6,17.9,19.0,19.5,21.0,20.1,17.8,17.2,16.9,16.1,15.7,15.3
geoId-TTH,0.7,0.8,0.9,0.9,0.9,1.2,1.4,1.4,1.3,1.4,1.8,1.8,1.7,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.4,1.4,1.5
geoId-TGG,1.7,2.1,2.2,2.4,2.4,2.5,2.3,3.2,3.2,3.1,3.4,1.5,4.2,4.6,4.7,4.7,5.0,4.6,4.3,4.0,4.4,4.1,4.5,4.7,3.9,3.4,2.2,2.4
geoId-HCM,0.7,0.7,0.9,0.9,1.1,1.1,1.1,1.2,1.4,0.9,1.0,1.2,1.1,0.7,1.2,0.9,0.6,0.8,1.1,1.4,0.9,0.5,0.5,0.8,0.7,0.5,0.4,0.3
geoId-NT,211.3,220.7,240.5,246.2,263.5,282.5,288.4,307.3,329.1,348.4,371.5,369.6,426.3,459.2,443.2,460.6,465.7,502.0,504.5,515.3,518.9,509.5,490.1,455.9,435.2,426.4,414.4,406.1
geoId-TVH,1.7,1.8,2.2,2.1,1.8,2.6,2.8,3.5,5.2,5.0,5.2,5.4,5.4,5.3,5.6,5.2,5.7,5.5,5.3,5.4,5.5,4.3,4.2,3.9,3.7,3.7,3.8,3.8
geoId-TQG,12.2,10.1,10.4,9.3,12.4,11.7,12.6,14.2,14.1,14.3,14.7,14.5,17.7,16.2,14.8,16.7,16.5,14.1,16.2,15.9,18.6,18.4,18.6,17.5,18.7,19.2,18.5,18.5
geoId-TNN,48.7,57.0,69.5,69.5,73.9,86.8,103.1,149.2,184.0,209.2,236.6,227.6,235.6,233.6,243.6,236.8,232.6,246.9,251.7,249.6,241.3,235.3,216.4,212.9,204.9,192.8,172.9,170.9
geoId-TNH,0.6,4.4,7.0,6.1,5.4,7.1,7.4,6.8,8.1,6.7,7.9,7.8,7.1,6.3,7.3,5.9,5.2,5.2,5.1,5.2,5.0,4.4,4.9,5.8,5.0,4.7,5.2,5.1
geoId-VLG,0.7,0.8,0.7,0.7,0.8,0.6,0.7,1.1,0.9,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.5,1.1,1.1,1.2,1.3,1.4,1.6,1.6,1.4,1.4,1.4
geoId-VPC,16.2,19.3,22.0,19.8,20.9,20.1,14.9,15.7,18.7,18.7,16.5,16.8,15.2,18.5,7.9,17.8,16.9,13.7,15.8,15.1,16.1,16.0,15.1,14.3,11.2,9.6,9.2,9.6
geoId-YBI,6.1,6.3,7.6,7.8,9.2,9.9,10.2,10.5,11.5,13.0,14.2,14.3,15.8,17.4,18.5,22.6,24.9,24.7,26.7,28.5,28.2,28.6,28.2,28.5,28.8,29.4,29.5,29.2
geoId-DBN,,,,,,,,,,24.6,25.5,26.4,27.3,28.9,29.5,29.1,29.8,29.2,29.3,29.9,29.7,30.0,30.6,29.8,28.8,27.9,27.2,25.6
geoId-DNG,0.1,0.1,0.1,0.3,0.1,0.1,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.6,0.5,0.4,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.2
geoId-ST,81.3,91.1,98.0,89.8,92.5,100.0,98.9,103.0,105.7,99.8,95.7,92.5,92.6,88.8,89.7,79.8,78.7,79.3,79.8,80.0,78.8,75.7,70.2,68.7,63.2,58.3,54.7,51.1
geoId-DLK,19.5,22.4,32.6,32.7,35.4,46.5,56.9,90.0,113.7,113.5,126.5,117.2,118.4,117.9,121.8,115.7,116.0,119.6,123.0,122.3,118.4,112.4,100.3,94.5,90.1,87.3,80.9,80.7
geoId-DNG1,,,,,,,,,,18.4,26.1,27.5,31.0,33.9,38.5,40.0,41.8,49.1,52.3,52.6,51.0,51.7,50.5,56.5,54.0,48.0,41.0,40.2
geoId-MRD,20.2,20.6,17.7,17.1,17.7,19.0,22.9,26.5,31.6,32.5,34.9,33.7,36.7,40.6,37.2,37.7,40.7,39.6,40.1,38.0,38.2,34.8,35.1,33.3,30.9,27.5,24.4,25.1
geoId-RRD,98.2,116.9,117.9,109.0,107.5,97.8,72.8,74.8,85.7,89.8,88.3,85.3,91.0,98.4,72.7,97.6,96.0,86.4,88.3,88.1,91.3,89.8,87.5,78.1,70.1,64.4,60.5,59.1
geoId-DNI,62.0,64.5,66.8,59.4,61.7,65.3,63.5,68.5,68.9,65.5,59.8,56.7,58.2,56.7,54.4,47.7,49.9,51.2,52.0,52.2,52.2,51.5,46.2,44.0,39.6,36.3,35.8,35.2
geoId-DTP,2.2,2.4,2.0,2.2,2.5,2.6,2.7,3.8,4.9,4.7,5.6,5.0,4.5,5.1,4.2,3.7,4.9,4.6,5.1,4.7,4.6,4.8,5.2,4.3,5.2,4.9,3.9,4.0
