"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,61.3,63.9,62.1,52.7,61.6,63.0,65.1,67.0,71.1,71.1,75.2,77.3,70.0,68.2,73.1,73.4,76.6,78.2,77.8
geoId-KHA,41.8,47.4,47.8,46.5,48.0,47.0,49.2,54.2,51.3,54.4,56.8,49.7,53.5,55.0,57.0,58.4,56.8,55.9,60.4,64.1,63.8,62.1,59.6,63.2,64.8,65.2,69.3,64.6
geoId-KGG,53.1,54.5,54.2,53.6,48.3,49.6,45.0,53.0,52.6,56.8,59.9,59.5,59.3,67.1,67.0,66.6,69.5,70.6,69.1,72.2,72.4,61.5,60.2,70.7,68.8,73.2,76.2,73.6
geoId-KTM,39.4,44.1,45.2,40.8,36.9,40.8,41.3,41.6,40.9,40.3,36.8,41.1,43.2,42.8,44.1,46.6,41.5,45.5,44.5,45.8,47.1,41.6,46.3,47.3,48.2,47.2,49.7,50.0
geoId-LCU,36.4,42.5,47.2,45.6,52.1,53.9,49.5,52.1,53.5,45.2,49.1,49.6,47.0,50.0,51.5,52.2,52.2,53.7,53.0,54.7,54.7,55.3,53.7,53.9,54.6,49.9,55.6,55.4
geoId-LAN,37.8,40.5,42.1,43.7,40.7,42.8,43.5,48.7,50.2,50.5,53.3,51.0,52.1,54.0,53.1,57.2,58.5,60.9,63.5,67.1,67.1,60.5,55.9,61.2,63.4,64.9,66.5,64.5
geoId-LCI,39.6,39.6,38.9,42.1,42.4,43.7,45.2,46.2,48.4,49.5,50.7,51.2,51.8,53.0,54.1,54.4,55.5,55.9,56.1,55.4,56.4,57.4,57.8,60.1,60.3,59.4,61.1,61.2
geoId-LDG,31.4,33.5,38.4,27.6,35.1,38.6,40.2,27.9,34.6,41.7,31.5,43.4,44.1,47.0,47.1,44.5,48.1,50.6,49.9,50.8,51.0,48.6,51.3,53.9,55.9,54.9,59.3,58.2
geoId-LSN,42.8,38.4,44.2,43.5,44.7,44.8,47.8,48.6,49.0,49.5,49.7,47.7,46.5,48.3,49.1,50.7,51.4,52.1,52.1,51.7,51.8,52.5,52.0,53.9,51.5,51.1,51.7,51.6
geoId-NDH,53.9,63.7,65.0,65.0,65.6,67.3,67.4,68.4,68.8,69.6,69.9,70.6,67.1,67.5,67.5,68.2,68.8,68.9,69.0,69.1,69.2,69.4,69.4,69.6,69.4,69.4,69.5,69.5
geoId-NAN,38.7,38.6,44.3,43.6,46.0,51.6,53.6,57.5,57.9,59.9,59.2,62.8,55.2,61.2,62.8,61.8,65.2,65.1,61.2,66.0,62.1,65.7,65.9,67.4,66.2,66.5,68.7,66.4
geoId-NBH,43.5,51.8,54.2,54.6,55.1,57.5,57.9,59.1,60.3,61.5,62.1,63.5,59.3,62.3,62.2,64.2,65.4,65.0,65.3,65.8,66.0,66.2,66.1,66.7,66.8,66.5,66.8,66.5
geoId-NTN,46.1,49.1,48.0,49.2,57.3,55.1,51.2,54.8,52.3,52.7,52.0,61.1,61.5,63.3,60.4,60.8,63.0,60.2,61.6,69.3,67.0,65.2,63.2,64.4,65.0,66.5,68.1,66.2
geoId-PTO,24.2,28.8,30.3,29.0,34.4,42.6,45.3,48.8,50.3,50.1,51.7,50.4,42.7,51.4,53.6,54.1,57.7,57.5,58.0,57.6,57.1,59.8,59.9,62.0,59.3,59.6,62.0,60.9
geoId-PYN,49.5,57.2,59.1,50.5,56.6,52.2,51.2,61.7,60.5,59.9,61.0,55.5,65.0,46.1,63.6,67.1,59.4,63.3,67.5,70.1,72.7,67.7,69.1,75.3,74.4,75.0,77.8,65.1
