"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,43.9,43.3,46.2,48.1,42.9,48.5,46.1,47.1,46.8,47.3,49.3,49.3,46.6,47.2,49.4,59.4,62.3,62.5,62.5
geoId-KHA,13.1,14.5,11.3,11.9,11.2,14.6,14.0,10.0,16.5,15.2,14.8,17.5,19.3,18.2,19.8,20.2,21.1,21.4,21.8,22.2,21.1,23.0,21.2,23.0,22.0,21.3,21.6,21.5
geoId-KGG,,,,,,,,4.5,20.0,20.0,,45.3,,43.2,41.1,,30.0,30.0,70.0,70.0,65.0,60.0,56.7,50.0,70.0,56.7,71.6,69.0
geoId-KTM,17.8,19.7,22.9,22.5,20.2,29.8,33.2,34.2,36.2,36.0,33.3,32.8,34.9,35.3,34.6,35.5,35.9,36.5,36.6,37.3,37.8,38.9,40.2,41.4,40.0,40.9,41.9,42.1
geoId-LCU,11.1,12.6,12.3,13.6,13.5,13.9,14.8,16.3,16.6,15.3,18.1,18.9,21.1,22.1,23.1,25.8,26.4,27.8,27.0,28.1,29.1,30.7,33.0,33.2,33.5,33.5,35.7,36.6
geoId-LAN,40.0,60.0,50.0,35.0,25.0,32.5,46.8,40.0,45.0,45.5,45.3,48.5,57.8,54.1,48.8,54.8,52.9,59.5,57.4,69.5,69.0,48.8,64.3,62.3,55.7,62.5,48.5,55.7
geoId-LCI,14.4,15.5,14.1,16.3,16.9,17.0,19.1,21.4,23.3,25.5,26.2,26.3,28.5,28.0,31.3,32.7,33.6,34.3,35.2,30.1,36.2,36.9,38.5,40.2,41.3,41.9,42.1,43.1
geoId-LDG,35.5,38.6,44.3,40.6,41.4,39.5,32.3,25.2,42.3,40.7,47.1,42.9,43.9,40.1,43.5,44.0,46.7,49.8,50.9,51.4,53.5,54.1,54.6,55.4,55.8,56.9,57.5,55.9
geoId-LSN,20.8,24.4,27.0,28.1,30.4,35.3,40.7,41.3,41.1,42.1,43.4,39.7,46.6,45.8,46.2,48.1,48.2,47.6,47.9,45.6,47.2,48.7,49.4,50.1,50.2,50.2,50.1,50.1
geoId-NDH,29.0,30.9,32.7,31.8,32.0,32.1,32.9,34.8,36.0,38.0,39.8,38.6,41.7,41.5,40.7,41.8,42.0,42.3,42.4,43.3,44.5,44.8,46.2,47.4,48.1,50.6,51.9,52.4
geoId-NAN,13.3,20.7,20.2,21.1,21.3,21.0,26.6,28.3,31.4,36.0,33.9,34.6,34.7,36.4,34.4,37.3,36.5,35.9,41.0,34.7,40.0,42.6,43.2,42.8,44.9,44.7,45.4,46.2
geoId-NBH,19.4,19.3,27.8,28.1,30.3,28.2,30.4,30.4,32.9,35.2,31.9,32.9,33.9,34.9,31.8,32.5,35.8,30.8,35.2,34.3,31.6,35.9,36.4,36.5,36.7,37.3,37.6,38.3
geoId-NTN,9.9,11.0,16.1,13.4,13.2,18.6,20.1,18.8,25.4,22.5,27.6,28.7,29.1,32.4,34.1,32.1,35.8,33.5,38.6,41.8,41.3,38.9,39.3,42.3,43.2,47.2,45.4,49.6
geoId-PTO,24.9,27.0,26.0,24.7,27.9,26.2,32.3,34.0,34.5,35.7,36.8,36.6,38.1,38.7,38.7,43.7,44.1,45.5,45.4,45.9,46.6,46.6,47.8,48.2,48.2,48.4,49.0,49.4
geoId-PYN,5.2,6.0,6.4,6.4,7.0,7.0,7.1,7.9,15.9,18.8,20.6,23.5,26.6,27.3,23.2,24.9,31.8,37.8,36.0,35.5,40.3,38.8,40.7,43.2,45.6,48.0,48.5,49.2
geoId-QBH,17.4,19.6,27.4,24.3,22.6,31.5,32.4,35.3,37.1,42.1,36.1,40.2,39.4,41.4,45.9,42.4,45.7,46.3,48.4,47.6,49.6,51.0,51.8,53.8,53.0,55.3,61.1,59.5
geoId-QNM,19.5,17.3,22.5,23.8,20.3,29.8,36.7,35.3,39.2,40.1,41.7,41.6,43.8,44.0,40.1,42.5,42.5,43.7,43.7,44.6,43.8,46.2,46.7,47.1,46.2,48.6,48.4,47.5
geoId-QNI,18.9,25.3,26.7,21.3,21.7,32.3,35.8,38.9,42.2,44.5,47.6,49.2,49.9,50.6,46.5,50.3,51.6,52.2,53.0,55.0,55.2,56.5,57.5,58.1,57.7,57.2,57.6,57.3
geoId-QNH,21.4,23.1,26.1,26.3,24.7,26.3,27.8,29.6,31.3,33.3,34.5,30.0,33.7,35.0,35.9,36.4,37.8,37.5,38.4,38.1,39.3,40.5,40.9,40.2,41.5,40.5,41.9,50.0
geoId-QTI,10.0,11.8,15.3,12.7,16.7,16.3,15.3,15.7,15.7,20.0,20.0,20.7,20.6,20.8,23.0,23.1,21.9,26.1,26.4,29.5,30.0,31.5,33.3,34.3,36.3,34.2,34.4,30.0
geoId-STG,20.0,25.2,21.2,25.6,24.6,24.8,30.0,30.8,31.1,34.2,33.9,33.6,33.1,36.2,38.2,38.6,37.3,37.1,37.9,38.7,40.0,39.8,40.2,39.8,40.2,42.5,43.5,44.5
geoId-SLA,18.1,20.8,17.3,23.2,22.9,26.3,27.5,30.2,31.1,31.9,28.2,32.6,37.7,38.1,38.9,31.5,39.8,39.6,40.2,40.5,36.8,39.3,40.7,41.5,41.1,42.7,43.4,44.8
geoId-THA,21.7,22.0,24.2,24.9,27.8,27.3,31.6,31.4,34.8,38.6,37.4,36.5,39.5,38.1,38.7,39.7,40.5,40.7,42.0,40.5,43.2,44.0,44.6,43.6,45.1,47.0,47.5,47.6
geoId-TBH,31.6,32.3,39.2,38.5,39.6,40.6,42.5,42.0,46.2,49.0,51.7,51.2,52.2,52.7,52.8,53.6,53.8,54.4,48.2,54.1,55.3,54.5,54.1,55.0,56.7,56.6,57.4,58.3
geoId-TNN,19.4,25.6,28.8,28.8,29.8,28.8,30.6,32.8,32.6,34.3,34.7,35.2,42.0,41.1,39.1,42.0,43.2,42.7,42.9,40.6,41.9,42.8,44.6,46.5,46.9,47.7,49.2,49.2
