dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,5034.0,2647.0,1693.0,694.0
geoId-VNM,2005,4736.0,2920.0,1392.0,424.0
geoId-VNM,2006,5212.0,2867.0,1507.0,838.0
geoId-VNM,2007,4440.0,2538.0,1376.0,526.0
geoId-VNM,2008,4779.0,2956.0,1353.0,470.0
geoId-VNM,2009,4725.0,2956.0,1299.0,470.0
geoId-VNM,2010,5163.0,3413.0,1283.0,467.0
geoId-VNM,2011,5171.0,3465.0,1199.0,507.0
geoId-VNM,2012,5193.0,3446.0,1304.0,443.0
geoId-VNM,2013,5135.0,3618.0,1422.0,95.0
geoId-VNM,2014,5590.0,3554.0,1584.0,452.0
geoId-VNM,2015,5851.0,3699.0,1653.0,499.0
geoId-VNM,2016,5828.0,3711.0,1607.0,510.0
geoId-VNM,2017,6089.0,3827.0,1647.0,615.0
geoId-VNM,2018,6762.0,4116.0,1829.0,817.0
geoId-VNM,2019,7120.0,4228.0,1996.0,896.0
geoId-VNM,2020,7116.0,4175.0,2134.0,807.0
geoId-VNM,2021,6868.0,4057.0,1965.0,846.0
