dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,4055.0,2884.0,921.0,250.0
geoId-VNM,2005,4182.0,3024.0,897.0,261.0
geoId-VNM,2006,4270.0,2802.0,1182.0,286.0
geoId-VNM,2007,3908.0,2565.0,1101.0,242.0
geoId-VNM,2008,5007.0,3334.0,1361.0,312.0
geoId-VNM,2009,5057.0,3317.0,1389.0,351.0
geoId-VNM,2010,5367.0,3366.0,1672.0,329.0
geoId-VNM,2011,5574.0,3496.0,1727.0,351.0
geoId-VNM,2012,5704.0,3477.0,1855.0,372.0
geoId-VNM,2013,5783.0,3233.0,2130.0,420.0
geoId-VNM,2014,5991.0,3212.0,2363.0,416.0
geoId-VNM,2015,6082.0,3250.0,2396.0,436.0
geoId-VNM,2016,6044.0,3227.0,2391.0,426.0
geoId-VNM,2017,6061.0,3216.0,2357.0,488.0
geoId-VNM,2018,6271.0,3421.0,2395.0,455.0
geoId-VNM,2019,6545.0,3570.0,2463.0,512.0
geoId-VNM,2020,6690.0,3635.0,2529.0,526.0
geoId-VNM,2021,7096.0,3936.0,2596.0,564.0
