dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,400.0,164.0,115.0,17.0,100.0,4.0
geoId-VNM,2003,426.0,175.0,136.0,20.0,90.0,5.0
geoId-VNM,2004,444.0,192.0,149.0,20.0,76.0,7.0
geoId-VNM,2005,476.0,219.0,178.0,23.0,50.0,6.0
geoId-VNM,2006,491.0,231.0,192.0,26.0,38.0,4.0
geoId-VNM,2007,507.0,245.0,204.0,26.0,27.0,5.0
geoId-VNM,2008,515.0,253.0,209.0,26.0,22.0,5.0
geoId-VNM,2009,532.0,265.0,221.0,28.0,15.0,3.0
geoId-VNM,2010,535.0,268.0,223.0,29.0,13.0,2.0
geoId-VNM,2011,542.0,273.0,228.0,30.0,10.0,1.0
geoId-VNM,2012,540.0,280.0,229.0,31.0,,
geoId-VNM,2013,552.0,282.0,231.0,31.0,8.0,
geoId-VNM,2014,557.0,286.0,231.0,31.0,8.0,1.0
geoId-VNM,2015,561.0,289.0,231.0,32.0,8.0,1.0
geoId-VNM,2016,561.0,289.0,230.0,32.0,9.0,1.0
geoId-VNM,2017,559.0,286.0,220.0,32.0,10.0,11.0
geoId-VNM,2019,367.0,97.0,81.0,30.0,146.0,13.0
geoId-VNM,2020,367.0,97.0,80.0,30.0,146.0,14.0
geoId-VNM,2021,368.0,97.0,80.0,30.0,146.0,15.0
