dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1568.0,1768.0,37.515
geoId-VNM,2003,,1611.0,1720.0,38.262
geoId-VNM,2004,168.0,1557.0,1561.0,37.549
geoId-VNM,2005,170.0,1538.0,1635.0,37.196
geoId-VNM,2006,174.0,1613.0,1888.0,40.3
geoId-VNM,2007,179.0,1672.0,1917.0,41.5
geoId-VNM,2008,180.0,1734.0,1992.0,42.4
geoId-VNM,2009,187.0,1672.0,1932.0,43.3
geoId-VNM,2010,188.0,1711.0,1955.0,44.1
geoId-VNM,2011,189.0,1729.0,2047.0,47.37
geoId-VNM,2012,193.0,1887.0,2028.0,49.355
geoId-VNM,2013,194.0,1792.0,2272.0,49.767
geoId-VNM,2014,202.0,1787.0,2343.0,49.427
geoId-VNM,2015,204.0,1932.0,2492.0,49.519
geoId-VNM,2016,211.0,1980.0,2636.0,56.237
geoId-VNM,2017,218.0,1871.0,2807.0,56.906
geoId-VNM,2018,216.0,1920.0,3012.0,56.572
geoId-VNM,2020,212.0,1989.0,3277.0,55.82
geoId-VNM,2021,218.0,1986.0,3307.0,52.698
