dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,582.0,295.0,245.0,42.0,,
geoId-VNM,2003,582.0,295.0,245.0,42.0,,
geoId-VNM,2004,581.0,293.0,245.0,43.0,,
geoId-VNM,2005,581.0,293.0,245.0,43.0,,
geoId-VNM,2006,583.0,292.0,245.0,46.0,,
geoId-VNM,2007,590.0,292.0,245.0,53.0,,
geoId-VNM,2008,590.0,292.0,245.0,53.0,,
geoId-VNM,2009,590.0,291.0,245.0,54.0,,
geoId-VNM,2010,591.0,291.0,245.0,55.0,,
geoId-VNM,2011,592.0,290.0,246.0,56.0,,
geoId-VNM,2012,593.0,291.0,246.0,56.0,,
geoId-VNM,2013,593.0,292.0,246.0,55.0,,
geoId-VNM,2014,592.0,293.0,242.0,57.0,,
geoId-VNM,2015,592.0,293.0,242.0,57.0,,
geoId-VNM,2016,586.0,292.0,237.0,57.0,,
geoId-VNM,2017,586.0,292.0,237.0,57.0,,
geoId-VNM,2019,514.0,228.0,229.0,57.0,,
geoId-VNM,2020,509.0,226.0,226.0,57.0,0.0,0.0
geoId-VNM,2021,509.0,226.0,226.0,57.0,,0.0
