dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2419.0,2834.0,54.569
geoId-VNM,2003,,2396.0,2813.0,54.547
geoId-VNM,2004,285.0,2338.0,2716.0,54.0
geoId-VNM,2005,284.0,2307.0,2735.0,56.772
geoId-VNM,2006,282.0,2267.0,2797.0,56.3
geoId-VNM,2007,283.0,2308.0,2908.0,57.8
geoId-VNM,2008,287.0,2292.0,3058.0,58.8
geoId-VNM,2009,295.0,2676.0,3184.0,72.4
geoId-VNM,2010,285.0,2312.0,3198.0,64.6
geoId-VNM,2011,286.0,2421.0,3674.0,70.262
geoId-VNM,2012,305.0,2559.0,4200.0,79.432
geoId-VNM,2013,315.0,2657.0,4613.0,82.206
geoId-VNM,2014,318.0,2844.0,5164.0,87.575
geoId-VNM,2015,323.0,3150.0,5867.0,97.669
geoId-VNM,2016,323.0,3308.0,6197.0,104.674
geoId-VNM,2017,328.0,3447.0,6684.0,107.637
geoId-VNM,2018,324.0,3433.0,5907.0,103.793
geoId-VNM,2020,297.0,3597.0,6721.0,96.157
geoId-VNM,2021,296.0,3557.0,6711.0,89.239
