dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,6313.0,2610.0,2597.0,1106.0
geoId-VNM,2005,5951.0,2497.0,2556.0,898.0
geoId-VNM,2006,5986.0,2521.0,2376.0,1089.0
geoId-VNM,2007,5747.0,2559.0,2157.0,1031.0
geoId-VNM,2008,,,,
geoId-VNM,2009,,,,
geoId-VNM,2010,,,,
geoId-VNM,2011,,,,
geoId-VNM,2012,,,,
geoId-VNM,2013,,,,
geoId-VNM,2014,,,,
geoId-VNM,2015,,,,
geoId-VNM,2016,,,,
geoId-VNM,2017,,,,
geoId-VNM,2018,,,,
geoId-VNM,2019,,,,
geoId-VNM,2020,,,,
geoId-VNM,2021,,,,
