dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1179.0,1786.0,27.088
geoId-VNM,2003,,1097.0,1811.0,26.839
geoId-VNM,2004,150.0,1207.0,1903.0,27.342
geoId-VNM,2005,151.0,1197.0,1933.0,28.721
geoId-VNM,2006,152.0,1180.0,1940.0,28.3
geoId-VNM,2007,151.0,1199.0,1987.0,28.8
geoId-VNM,2008,150.0,1183.0,2148.0,30.9
geoId-VNM,2009,149.0,1159.0,2184.0,31.2
geoId-VNM,2010,148.0,1157.0,2282.0,31.3
geoId-VNM,2011,150.0,1206.0,2304.0,36.595
geoId-VNM,2012,150.0,1234.0,2393.0,39.079
geoId-VNM,2013,151.0,1250.0,2387.0,39.134
geoId-VNM,2014,150.0,1253.0,2504.0,40.098
geoId-VNM,2015,150.0,1289.0,2566.0,43.748
geoId-VNM,2016,150.0,1428.0,2698.0,48.523
geoId-VNM,2017,152.0,1478.0,2956.0,51.145
geoId-VNM,2018,154.0,1560.0,3119.0,51.584
geoId-VNM,2020,153.0,1622.0,3206.0,49.601
geoId-VNM,2021,155.0,1601.0,3233.0,46.153
