dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,891.0,1337.0,21.787
geoId-VNM,2003,,816.0,1212.0,21.167
geoId-VNM,2004,105.0,858.0,1375.0,23.969
geoId-VNM,2005,107.0,886.0,1476.0,24.677
geoId-VNM,2006,108.0,932.0,1572.0,26.4
geoId-VNM,2007,109.0,965.0,1672.0,28.2
geoId-VNM,2008,113.0,967.0,1755.0,29.6
geoId-VNM,2009,118.0,1053.0,2099.0,34.6
geoId-VNM,2010,124.0,1094.0,2088.0,33.2
geoId-VNM,2011,136.0,1249.0,2422.0,37.831
geoId-VNM,2012,140.0,1308.0,2494.0,38.812
geoId-VNM,2013,154.0,1459.0,2753.0,38.198
geoId-VNM,2014,167.0,1457.0,2925.0,37.909
geoId-VNM,2015,178.0,1554.0,3189.0,41.871
geoId-VNM,2016,184.0,1952.0,3557.0,49.236
geoId-VNM,2017,199.0,1901.0,3961.0,51.029
geoId-VNM,2018,198.0,1729.0,3441.0,46.224
geoId-VNM,2020,206.0,1966.0,3981.0,48.828
geoId-VNM,2021,208.0,2014.0,4032.0,46.932
