dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,,,
geoId-VNM,2003,,,,
geoId-VNM,2004,29.0,443.0,455.0,12.157
geoId-VNM,2005,46.0,435.0,313.0,12.163
geoId-VNM,2006,68.0,1017.0,725.0,18.2
geoId-VNM,2007,65.0,621.0,657.0,14.9
geoId-VNM,2008,74.0,662.0,778.0,17.3
geoId-VNM,2009,79.0,727.0,885.0,18.9
geoId-VNM,2010,85.0,661.0,1012.0,18.9
geoId-VNM,2011,89.0,854.0,1108.0,22.981
geoId-VNM,2012,110.0,865.0,1207.0,26.109
geoId-VNM,2013,94.0,906.0,1316.0,27.068
geoId-VNM,2014,103.0,1005.0,1443.0,27.714
geoId-VNM,2015,109.0,1023.0,1577.0,29.903
geoId-VNM,2016,113.0,1106.0,1736.0,33.954
geoId-VNM,2017,119.0,1141.0,1930.0,35.283
geoId-VNM,2018,131.0,1157.0,1892.0,35.183
geoId-VNM,2020,124.0,1185.0,2265.0,35.021
geoId-VNM,2021,126.0,1171.0,2223.0,31.987
