dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,589.0,278.0,270.0,41.0,,
geoId-VNM,2003,590.0,278.0,270.0,42.0,,
geoId-VNM,2004,595.0,279.0,273.0,43.0,,
geoId-VNM,2005,595.0,279.0,273.0,43.0,,
geoId-VNM,2006,598.0,279.0,273.0,46.0,,
geoId-VNM,2007,602.0,279.0,273.0,50.0,,
geoId-VNM,2008,604.0,279.0,273.0,52.0,,
geoId-VNM,2009,605.0,279.0,273.0,53.0,,
geoId-VNM,2010,604.0,279.0,272.0,53.0,,
geoId-VNM,2011,605.0,279.0,272.0,54.0,,
geoId-VNM,2012,605.0,279.0,272.0,54.0,,
geoId-VNM,2013,604.0,279.0,271.0,54.0,,
geoId-VNM,2014,607.0,281.0,272.0,54.0,,
geoId-VNM,2015,608.0,282.0,272.0,54.0,,
geoId-VNM,2016,609.0,283.0,272.0,54.0,,
geoId-VNM,2017,611.0,284.0,273.0,54.0,,
geoId-VNM,2019,564.0,250.0,249.0,54.0,11.0,
geoId-VNM,2020,552.0,245.0,241.0,55.0,11.0,0.0
geoId-VNM,2021,550.0,244.0,240.0,55.0,11.0,0.0
