dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,18252.0,10759.0,6156.0,1337.0
geoId-VNM,2005,18310.0,10759.0,6190.0,1361.0
geoId-VNM,2006,18745.0,11251.0,5827.0,1667.0
geoId-VNM,2007,18154.0,10852.0,5631.0,1671.0
geoId-VNM,2008,17044.0,10240.0,5026.0,1778.0
geoId-VNM,2009,17884.0,10820.0,5192.0,1872.0
geoId-VNM,2010,17141.0,10534.0,4822.0,1785.0
geoId-VNM,2011,22415.0,12379.0,5721.0,4315.0
geoId-VNM,2012,24047.0,13499.0,6994.0,3554.0
geoId-VNM,2013,27139.0,13927.0,8719.0,4493.0
geoId-VNM,2014,28111.0,14589.0,9245.0,4277.0
geoId-VNM,2015,29437.0,15701.0,9545.0,4191.0
geoId-VNM,2016,29528.0,16017.0,9663.0,3848.0
geoId-VNM,2017,30498.0,16598.0,9953.0,3947.0
geoId-VNM,2018,33188.0,18968.0,10444.0,3776.0
geoId-VNM,2019,35417.0,20314.0,11238.0,3865.0
geoId-VNM,2020,36704.0,20797.0,11966.0,3941.0
geoId-VNM,2021,37390.0,21316.0,11906.0,4168.0
