dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,473.0,288.0,138.0,38.0,4.0,5.0
geoId-VNM,2003,505.0,311.0,142.0,42.0,5.0,5.0
geoId-VNM,2004,493.0,295.0,145.0,45.0,5.0,3.0
geoId-VNM,2005,504.0,296.0,149.0,50.0,4.0,5.0
geoId-VNM,2006,510.0,296.0,157.0,47.0,4.0,6.0
geoId-VNM,2007,519.0,297.0,163.0,48.0,4.0,7.0
geoId-VNM,2008,523.0,299.0,166.0,46.0,3.0,9.0
geoId-VNM,2009,521.0,300.0,166.0,43.0,2.0,10.0
geoId-VNM,2010,527.0,298.0,165.0,48.0,3.0,13.0
geoId-VNM,2011,529.0,297.0,167.0,48.0,1.0,16.0
geoId-VNM,2012,535.0,299.0,169.0,50.0,3.0,14.0
geoId-VNM,2013,539.0,302.0,168.0,50.0,3.0,16.0
geoId-VNM,2014,540.0,300.0,170.0,47.0,4.0,19.0
geoId-VNM,2015,544.0,300.0,172.0,47.0,4.0,21.0
geoId-VNM,2016,547.0,301.0,172.0,48.0,4.0,22.0
geoId-VNM,2017,555.0,303.0,174.0,49.0,5.0,24.0
geoId-VNM,2019,548.0,297.0,168.0,51.0,9.0,23.0
geoId-VNM,2020,547.0,290.0,170.0,50.0,12.0,25.0
geoId-VNM,2021,548.0,290.0,169.0,50.0,13.0,26.0
