dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,982.0,1069.0,20.703
geoId-VNM,2003,,1026.0,1166.0,21.592
geoId-VNM,2004,89.0,824.0,817.0,16.638
geoId-VNM,2005,124.0,1204.0,1444.0,25.768
geoId-VNM,2006,132.0,1044.0,1153.0,23.5
geoId-VNM,2007,128.0,1022.0,1178.0,23.5
geoId-VNM,2008,140.0,1114.0,1290.0,26.1
geoId-VNM,2009,127.0,1093.0,1142.0,24.2
geoId-VNM,2010,132.0,1122.0,1244.0,25.4
geoId-VNM,2011,133.0,1079.0,1269.0,23.871
geoId-VNM,2012,137.0,1117.0,1159.0,25.787
geoId-VNM,2013,133.0,1065.0,1393.0,25.375
geoId-VNM,2014,134.0,1149.0,1484.0,26.335
geoId-VNM,2015,135.0,1162.0,1512.0,26.967
geoId-VNM,2016,135.0,1092.0,1598.0,30.201
geoId-VNM,2017,138.0,1111.0,1731.0,30.52
geoId-VNM,2018,134.0,1075.0,1639.0,28.729
geoId-VNM,2020,131.0,1018.0,1838.0,26.853
geoId-VNM,2021,130.0,992.0,1670.0,23.249
