dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,359.0,166.0,167.0,26.0,,
geoId-VNM,2003,363.0,169.0,167.0,27.0,,
geoId-VNM,2004,385.0,169.0,167.0,49.0,,
geoId-VNM,2005,366.0,169.0,168.0,29.0,,
geoId-VNM,2006,367.0,169.0,168.0,30.0,,
geoId-VNM,2007,371.0,169.0,169.0,33.0,,
geoId-VNM,2008,364.0,169.0,169.0,26.0,,
geoId-VNM,2009,375.0,169.0,169.0,37.0,,
geoId-VNM,2010,375.0,169.0,169.0,37.0,,
geoId-VNM,2011,375.0,169.0,169.0,37.0,,
geoId-VNM,2012,375.0,169.0,169.0,37.0,,
geoId-VNM,2013,379.0,169.0,171.0,38.0,1.0,
geoId-VNM,2014,380.0,169.0,171.0,38.0,1.0,1.0
geoId-VNM,2015,380.0,170.0,171.0,38.0,,1.0
geoId-VNM,2016,380.0,170.0,171.0,38.0,,1.0
geoId-VNM,2017,379.0,170.0,171.0,37.0,,1.0
geoId-VNM,2019,359.0,152.0,157.0,35.0,11.0,4.0
geoId-VNM,2020,349.0,141.0,148.0,35.0,21.0,4.0
geoId-VNM,2021,349.0,141.0,144.0,35.0,25.0,4.0
