dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,524.0,256.0,215.0,36.0,11.0,6.0
geoId-VNM,2003,529.0,256.0,219.0,40.0,11.0,3.0
geoId-VNM,2004,531.0,256.0,219.0,41.0,12.0,3.0
geoId-VNM,2005,532.0,255.0,220.0,43.0,12.0,2.0
geoId-VNM,2006,538.0,256.0,221.0,46.0,13.0,2.0
geoId-VNM,2007,544.0,258.0,226.0,47.0,12.0,1.0
geoId-VNM,2008,540.0,260.0,220.0,46.0,12.0,2.0
geoId-VNM,2009,547.0,259.0,226.0,49.0,13.0,
geoId-VNM,2010,547.0,258.0,227.0,48.0,13.0,1.0
geoId-VNM,2011,547.0,259.0,225.0,48.0,13.0,2.0
geoId-VNM,2012,549.0,259.0,225.0,48.0,15.0,2.0
geoId-VNM,2013,550.0,260.0,225.0,48.0,15.0,2.0
geoId-VNM,2014,550.0,260.0,225.0,45.0,15.0,5.0
geoId-VNM,2015,547.0,261.0,225.0,43.0,15.0,3.0
geoId-VNM,2016,547.0,260.0,225.0,43.0,15.0,4.0
geoId-VNM,2017,534.0,247.0,215.0,43.0,26.0,3.0
geoId-VNM,2019,508.0,222.0,212.0,44.0,26.0,4.0
geoId-VNM,2020,500.0,220.0,209.0,44.0,24.0,3.0
geoId-VNM,2021,500.0,220.0,209.0,44.0,23.0,4.0
