dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1348.0,1567.0,33.472
geoId-VNM,2003,,1373.0,1474.0,35.324
geoId-VNM,2004,167.0,1364.0,1492.0,35.767
geoId-VNM,2005,168.0,1389.0,1615.0,37.746
geoId-VNM,2006,175.0,1426.0,1669.0,40.3
geoId-VNM,2007,175.0,1571.0,1943.0,45.0
geoId-VNM,2008,159.0,1425.0,1905.0,42.7
geoId-VNM,2009,164.0,1493.0,1978.0,44.8
geoId-VNM,2010,169.0,1608.0,2209.0,49.7
geoId-VNM,2011,172.0,1746.0,2207.0,52.274
geoId-VNM,2012,177.0,1854.0,2626.0,55.178
geoId-VNM,2013,181.0,1960.0,2871.0,57.878
geoId-VNM,2014,183.0,1849.0,2654.0,56.011
geoId-VNM,2015,183.0,3227.0,2942.0,64.73
geoId-VNM,2016,183.0,3043.0,2966.0,69.75
geoId-VNM,2017,184.0,2351.0,3028.0,70.138
geoId-VNM,2018,180.0,2256.0,3428.0,67.008
geoId-VNM,2020,176.0,2577.0,3725.0,68.232
geoId-VNM,2021,177.0,2630.0,4141.0,65.739
