dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,552.0,491.0,9.896
geoId-VNM,2003,,523.0,529.0,8.973
geoId-VNM,2004,89.0,587.0,568.0,10.203
geoId-VNM,2005,100.0,581.0,635.0,10.517
geoId-VNM,2006,109.0,635.0,663.0,10.8
geoId-VNM,2007,112.0,660.0,716.0,11.2
geoId-VNM,2008,112.0,686.0,750.0,11.6
geoId-VNM,2009,113.0,721.0,751.0,12.3
geoId-VNM,2010,115.0,750.0,792.0,12.8
geoId-VNM,2011,117.0,814.0,809.0,13.176
geoId-VNM,2012,124.0,796.0,1291.0,14.117
geoId-VNM,2013,124.0,805.0,960.0,14.819
geoId-VNM,2014,124.0,817.0,967.0,16.169
geoId-VNM,2015,124.0,849.0,1062.0,17.862
geoId-VNM,2016,123.0,873.0,1144.0,18.795
geoId-VNM,2017,123.0,873.0,1238.0,18.833
geoId-VNM,2018,123.0,860.0,1190.0,18.319
geoId-VNM,2020,114.0,829.0,1263.0,17.654
geoId-VNM,2021,112.0,823.0,1216.0,16.914
