dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,97382.0,54493.0,37716.0,5173.0
geoId-VNM,2005,96502.0,50685.0,38629.0,7188.0
geoId-VNM,2006,95268.0,49649.0,37217.0,8402.0
geoId-VNM,2007,91005.0,47852.0,35128.0,8025.0
geoId-VNM,2008,85832.0,45188.0,33741.0,6903.0
geoId-VNM,2009,84035.0,44215.0,32822.0,6998.0
geoId-VNM,2010,84337.0,45026.0,32515.0,6796.0
geoId-VNM,2011,87456.0,46812.0,32289.0,8355.0
geoId-VNM,2012,90753.0,49694.0,32263.0,8796.0
geoId-VNM,2013,92748.0,50899.0,32325.0,9524.0
geoId-VNM,2014,93798.0,51418.0,32481.0,9899.0
geoId-VNM,2015,97361.0,53475.0,33726.0,10160.0
geoId-VNM,2016,99948.0,54502.0,34864.0,10582.0
geoId-VNM,2017,102346.0,55063.0,36373.0,10910.0
geoId-VNM,2018,104301.0,56724.0,36959.0,10618.0
geoId-VNM,2019,108783.0,58458.0,38692.0,11633.0
geoId-VNM,2020,112323.0,59549.0,40467.0,12307.0
geoId-VNM,2021,115114.0,60395.0,41589.0,13130.0
